bio,lemmatized_tokens,flag_classification,reason
"Obsessed with hiking, photography, and laughter.","['obsessed', 'hiking', 'photography', 'laughter']",🚩Red Flag,['obsessed']
"Loves hiking, ghosted during trip.","['love', 'hiking', 'ghosted', 'trip']",🌿Green Flag,['love']
bad at directions,"['bad', 'direction']",🚩Red Flag,['bad']
"Gym rat, ignores texts.","['gym', 'rat', 'ignores', 'text']",🤷‍♂️No Clear Signal,[]
"Loves animals, flakes mid-day.","['love', 'animal', 'flake', 'midday']",🙂Mixed Signal,"['love', 'flake']"
"Flirting: chaotic, unplanned, cute","['flirting', 'chaotic', 'unplanned', 'cute']",🤷‍♂️No Clear Signal,[]
obsessed w dogs 🐶,"['obsessed', 'w', 'dog']",🙂Mixed Signal,"['dog', 'obsessed']"
Beach bum with a caffeine addiction 🌊☕,"['beach', 'bum', 'caffeine', 'addiction']",🤷‍♂️No Clear Signal,[]
"Will steal your fries, politely","['steal', 'fry', 'politely']",🚩Red Flag,['steal']
"Coffee lover, sarcasm speaker.","['coffee', 'lover', 'sarcasm', 'speaker']",🙂Mixed Signal,"['coffee', 'lover', 'sarcasm']"
"Always planning, rarely executing.","['always', 'planning', 'rarely', 'executing']",🌿Green Flag,['always']
love pizza,"['love', 'pizza']",🌿Green Flag,"['love', 'pizza']"
"10% angel, 90% what the f*ck","['angel', 'fck']",🤷‍♂️No Clear Signal,[]
"Gym enthusiast, sometimes clingy.","['gym', 'enthusiast', 'sometimes', 'clingy']",🌿Green Flag,"['enthusiast', 'clingy']"
ambitious but not ruthless,"['ambitious', 'ruthless']",🌿Green Flag,['ambitious']
I like tacos more than people,"['like', 'taco', 'people']",🤷‍♂️No Clear Signal,[]
"I care too much, then act aloof.","['care', 'much', 'act', 'aloof']",🤷‍♂️No Clear Signal,[]
meh,['meh'],🤷‍♂️No Clear Signal,[]
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
Professional meme sharer,"['professional', 'meme', 'sharer']",🌿Green Flag,['professional']
"Coffee addict, music lover, occasional overthinker 🎶☕","['coffee', 'addict', 'music', 'lover', 'occasional', 'overthinker']",🌿Green Flag,"['coffee', 'lover']"
sleepy af always,"['sleepy', 'af', 'always']",🌿Green Flag,['always']
Looking for the kind of love that feels safe,"['looking', 'kind', 'love', 'feel', 'safe']",🌿Green Flag,"['love', 'safe']"
I binge-watch and overthink simultaneously,"['bingewatch', 'overthink', 'simultaneously']",🚩Red Flag,['overthink']
"if we’re not real, what’s the point?","['real', 'whats', 'point']",🌿Green Flag,['real']
loves coffee shops,"['love', 'coffee', 'shop']",🌿Green Flag,"['love', 'coffee']"
overthink & snack,"['overthink', 'snack']",🚩Red Flag,['overthink']
emojis > everything,"['emojis', 'everything']",🤷‍♂️No Clear Signal,[]
Hopeless romantic and proud of it 💔😎,"['hopeless', 'romantic', 'proud']",🌿Green Flag,['romantic']
messy but cute,"['messy', 'cute']",🚩Red Flag,['messy']
"Currently avoiding adulthood creativelyPizza first, life second","['currently', 'avoiding', 'adulthood', 'creativelypizza', 'first', 'life', 'second']",🌿Green Flag,['life']
Dog cuddles make everything better 🐶❤️,"['dog', 'cuddle', 'make', 'everything', 'better']",🌿Green Flag,['dog']
i don’t chase. i vanish,"['dont', 'chase', 'vanish']",🙂Mixed Signal,"['dont', 'chase', 'vanish']"
"Let’s be real, honest, and probably goofy together","['let', 'real', 'honest', 'probably', 'goofy', 'together']",🌿Green Flag,"['real', 'honest', 'goofy']"
sarcastic queen,"['sarcastic', 'queen']",🤷‍♂️No Clear Signal,[]
if u get attached easily… so do i. let’s go,"['u', 'get', 'attached', 'easily', 'let', 'go']",🤷‍♂️No Clear Signal,[]
"I plan adventures, sometimes alone.","['plan', 'adventure', 'sometimes', 'alone']",🤷‍♂️No Clear Signal,[]
"Beach walks, late-night ice cream, good vibes.","['beach', 'walk', 'latenight', 'ice', 'cream', 'good', 'vibe']",🤷‍♂️No Clear Signal,[]
"Fluent in sarcasm, bad jokes, and chaos.","['fluent', 'sarcasm', 'bad', 'joke', 'chaos']",🙂Mixed Signal,"['fluent', 'sarcasm', 'bad', 'chaos']"
love coffee,"['love', 'coffee']",🌿Green Flag,"['love', 'coffee']"
Cat person with a wild streak.,"['cat', 'person', 'wild', 'streak']",🤷‍♂️No Clear Signal,[]
loves midnight snacks,"['love', 'midnight', 'snack']",🌿Green Flag,['love']
work and chill,"['work', 'chill']",🌿Green Flag,['chill']
"i forget stuff, forgive pls","['forget', 'stuff', 'forgive', 'pls']",🤷‍♂️No Clear Signal,[]
i cry at dog videos,"['cry', 'dog', 'video']",🌿Green Flag,['dog']
"no filter, no shame","['filter', 'shame']",🤷‍♂️No Clear Signal,[]
might ghost u,"['might', 'ghost', 'u']",🚩Red Flag,['ghost']
spontaneous but broke,"['spontaneous', 'broke']",🚩Red Flag,['broke']
"I love sarcasm, hate small talk.","['love', 'sarcasm', 'hate', 'small', 'talk']",🙂Mixed Signal,"['love', 'small', 'sarcasm']"
Pizza lover and serial binge-watcher 🍕📺,"['pizza', 'lover', 'serial', 'bingewatcher']",🌿Green Flag,"['pizza', 'lover']"
spicy & lonely,"['spicy', 'lonely']",🤷‍♂️No Clear Signal,[]
420 friendly not sorry,"['friendly', 'sorry']",🌿Green Flag,['sorry']
tacos > love,"['taco', 'love']",🌿Green Flag,['love']
love horror & memes,"['love', 'horror', 'meme']",🌿Green Flag,['love']
"Flirt responsibly, snack generously","['flirt', 'responsibly', 'snack', 'generously']",🚩Red Flag,['flirt']
"Cat mom, coffee addict, vibe creator. 🐱☕","['cat', 'mom', 'coffee', 'addict', 'vibe', 'creator']",🌿Green Flag,['coffee']
"Loves karaoke, dance-offs, and ice cream runs.","['love', 'karaoke', 'danceoffs', 'ice', 'cream', 'run']",🌿Green Flag,['love']
i sing loudly,"['sing', 'loudly']",🤷‍♂️No Clear Signal,[]
i scream at movies,"['scream', 'movie']",🤷‍♂️No Clear Signal,[]
"Fluent in sarcasm, memes, and awkward humor.","['fluent', 'sarcasm', 'meme', 'awkward', 'humor']",🙂Mixed Signal,"['fluent', 'sarcasm']"
"Loves adventures, hates plans. 🏞️","['love', 'adventure', 'hate', 'plan']",🌿Green Flag,['love']
"Gamer at heart, foodie in practice.","['gamer', 'heart', 'foodie', 'practice']",🤷‍♂️No Clear Signal,[]
kinda wild,"['kinda', 'wild']",🤷‍♂️No Clear Signal,[]
I laugh at my own jokes,"['laugh', 'joke']",🌿Green Flag,['laugh']
Just here to vibe and spread good energy ✨😎,"['vibe', 'spread', 'good', 'energy']",🤷‍♂️No Clear Signal,[]
Sarcasm is my love language 😏💖,"['sarcasm', 'love', 'language']",🙂Mixed Signal,"['love', 'sarcasm']"
love dogs,"['love', 'dog']",🌿Green Flag,"['love', 'dog']"
"Likes mornings, hates people. 🌞🙃","['like', 'morning', 'hate', 'people']",🌿Green Flag,['morning']
Flirt like you mean it,"['flirt', 'like', 'mean']",🚩Red Flag,['flirt']
Currently ignoring responsibilities,"['currently', 'ignoring', 'responsibility']",🤷‍♂️No Clear Signal,[]
420 friendly,['friendly'],🤷‍♂️No Clear Signal,[]
"Loves sunsets, long drives, and chocolate.","['love', 'sunset', 'long', 'drive', 'chocolate']",🌿Green Flag,['love']
i nap anywhere anytime,"['nap', 'anywhere', 'anytime']",🤷‍♂️No Clear Signal,[]
Introverted extrovert seeking same,"['introverted', 'extrovert', 'seeking']",🤷‍♂️No Clear Signal,[]
taco obsessed,"['taco', 'obsessed']",🚩Red Flag,['obsessed']
"I steal fries, not hearts… usually","['steal', 'fry', 'heart', 'usually']",🚩Red Flag,['steal']
sarcasm & fun combined,"['sarcasm', 'fun', 'combined']",🚩Red Flag,['sarcasm']
Introvert with social battery issues,"['introvert', 'social', 'battery', 'issue']",🤷‍♂️No Clear Signal,[]
"Amateur baker, dessert lover.","['amateur', 'baker', 'dessert', 'lover']",🌿Green Flag,['lover']
loves sushi 🍣,"['love', 'sushi']",🌿Green Flag,['love']
"Amateur painter, professional overthinker.","['amateur', 'painter', 'professional', 'overthinker']",🌿Green Flag,['professional']
Recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']",🚩Red Flag,['chaos']
"Obsessed with dogs, street food, and spontaneity.","['obsessed', 'dog', 'street', 'food', 'spontaneity']",🙂Mixed Signal,"['dog', 'obsessed']"
Sarcastic with a side of empathy.,"['sarcastic', 'side', 'empathy']",🌿Green Flag,['empathy']
lowkey savage,"['lowkey', 'savage']",🤷‍♂️No Clear Signal,[]
not here to waste anyone’s time. just looking for something real.,"['waste', 'anyones', 'time', 'looking', 'something', 'real']",🙂Mixed Signal,"['something', 'real', 'waste']"
lowkey savage,"['lowkey', 'savage']",🤷‍♂️No Clear Signal,[]
"I love cats, hate clinginess.","['love', 'cat', 'hate', 'clinginess']",🌿Green Flag,['love']
"Might steal your fries, but I’ll share my hoodie. 🍟❤️","['might', 'steal', 'fry', 'ill', 'share', 'hoodie']",🙂Mixed Signal,"['share', 'steal']"
"Recovering overthinker, open to new catastrophes","['recovering', 'overthinker', 'open', 'new', 'catastrophe']",🤷‍♂️No Clear Signal,[]
Recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']",🚩Red Flag,['chaos']
"Beach wanderer, mountain dreamer.","['beach', 'wanderer', 'mountain', 'dreamer']",🤷‍♂️No Clear Signal,[]
"Gamer, foodie, coffee addict.","['gamer', 'foodie', 'coffee', 'addict']",🌿Green Flag,['coffee']
loves random road trips,"['love', 'random', 'road', 'trip']",🌿Green Flag,['love']
i swear im funny sometimes,"['swear', 'im', 'funny', 'sometimes']",🤷‍♂️No Clear Signal,[]
"Loves ice cream, hikes, and coffee.","['love', 'ice', 'cream', 'hike', 'coffee']",🌿Green Flag,"['love', 'coffee']"
Flirt level: expert,"['flirt', 'level', 'expert']",🚩Red Flag,['flirt']
"Flirt responsibly, swipe dangerously","['flirt', 'responsibly', 'swipe', 'dangerously']",🚩Red Flag,['flirt']
i scream sometimes,"['scream', 'sometimes']",🤷‍♂️No Clear Signal,[]
Professional chaos coordinator,"['professional', 'chaos', 'coordinator']",🙂Mixed Signal,"['professional', 'chaos']"
I’ll steal your fries and your heart.,"['ill', 'steal', 'fry', 'heart']",🚩Red Flag,['steal']
"Here for a good time, not a long bio","['good', 'time', 'long', 'bio']",🤷‍♂️No Clear Signal,[]
love tacos more than ppl,"['love', 'taco', 'ppl']",🌿Green Flag,['love']
i text back sometimes,"['text', 'back', 'sometimes']",🤷‍♂️No Clear Signal,[]
Wine enthusiast with bad puns.,"['wine', 'enthusiast', 'bad', 'pun']",🙂Mixed Signal,"['enthusiast', 'bad']"
Always lost in music or my thoughts.,"['always', 'lost', 'music', 'thought']",🌿Green Flag,['always']
"Loves concerts, flaky.","['love', 'concert', 'flaky']",🌿Green Flag,['love']
music > everything,"['music', 'everything']",🤷‍♂️No Clear Signal,[]
coffee > everything else,"['coffee', 'everything', 'else']",🌿Green Flag,['coffee']
obsessed w dogs,"['obsessed', 'w', 'dog']",🙂Mixed Signal,"['dog', 'obsessed']"
"Loves hiking, flakes mid-week.","['love', 'hiking', 'flake', 'midweek']",🙂Mixed Signal,"['love', 'flake']"
Loves dancing like nobody’s watching.,"['love', 'dancing', 'like', 'nobody', 'watching']",🌿Green Flag,"['love', 'dancing']"
sometimes extra,"['sometimes', 'extra']",🤷‍♂️No Clear Signal,[]
I may delete TikToks but not my charm,"['may', 'delete', 'tiktoks', 'charm']",🤷‍♂️No Clear Signal,[]
Flirt like you mean it,"['flirt', 'like', 'mean']",🚩Red Flag,['flirt']
"6’2. yes, it matters 🙄","['yes', 'matter']",🤷‍♂️No Clear Signal,[]
Weekend hiker seeking adventure buddy.,"['weekend', 'hiker', 'seeking', 'adventure', 'buddy']",🤷‍♂️No Clear Signal,[]
messy but lovable,"['messy', 'lovable']",🚩Red Flag,['messy']
i talk too fast,"['talk', 'fast']",🤷‍♂️No Clear Signal,[]
Fitness enthusiast with a soft spot for puppies.,"['fitness', 'enthusiast', 'soft', 'spot', 'puppy']",🌿Green Flag,"['enthusiast', 'soft']"
loves astrology ✨,"['love', 'astrology']",🌿Green Flag,['love']
chaotic but lovable,"['chaotic', 'lovable']",🤷‍♂️No Clear Signal,[]
could sleep 24/7,"['could', 'sleep']",🤷‍♂️No Clear Signal,[]
I trip over flat surfaces… elegantly,"['trip', 'flat', 'surface', 'elegantly']",🤷‍♂️No Clear Signal,[]
I overthink and nap simultaneously,"['overthink', 'nap', 'simultaneously']",🚩Red Flag,['overthink']
love memes too much,"['love', 'meme', 'much']",🌿Green Flag,['love']
sushi > pizza fight me,"['sushi', 'pizza', 'fight']",🙂Mixed Signal,"['pizza', 'fight']"
"Weekend bruncher, weekday napper.","['weekend', 'bruncher', 'weekday', 'napper']",🤷‍♂️No Clear Signal,[]
"Working on myself, but would love a teammate","['working', 'would', 'love', 'teammate']",🌿Green Flag,"['love', 'teammate']"
"I may ghost you, but I’ll send memes","['may', 'ghost', 'ill', 'send', 'meme']",🚩Red Flag,['ghost']
"Book hoarder, always reading something new.","['book', 'hoarder', 'always', 'reading', 'something', 'new']",🌿Green Flag,"['always', 'something']"
sleepy always,"['sleepy', 'always']",🌿Green Flag,['always']
pizza lover,"['pizza', 'lover']",🌿Green Flag,"['pizza', 'lover']"
"love sarcasm, hate lies","['love', 'sarcasm', 'hate', 'lie']",🙂Mixed Signal,"['love', 'sarcasm', 'lie']"
not your therapist but will listen,"['therapist', 'listen']",🤷‍♂️No Clear Signal,[]
TRAVEL IS LIFE,"['travel', 'life']",🌿Green Flag,['life']
"yes, i talk in memes and red flags","['yes', 'talk', 'meme', 'red', 'flag']",🚩Red Flag,['flag']
Loves to travel but disappears mid-trip.,"['love', 'travel', 'disappears', 'midtrip']",🌿Green Flag,['love']
Can overthink and nap simultaneously,"['overthink', 'nap', 'simultaneously']",🚩Red Flag,['overthink']
Fitness enthusiast who loves chocolate.,"['fitness', 'enthusiast', 'love', 'chocolate']",🌿Green Flag,"['enthusiast', 'love']"
"Always late, yet expects you to wait patiently.","['always', 'late', 'yet', 'expects', 'wait', 'patiently']",🌿Green Flag,['always']
coffee addict too,"['coffee', 'addict']",🌿Green Flag,['coffee']
i want someone to look good next to me,"['want', 'someone', 'look', 'good', 'next']",🚩Red Flag,['look']
i ghost sometimes lol,"['ghost', 'sometimes', 'lol']",🚩Red Flag,['ghost']
"sarcastic, messy, fun","['sarcastic', 'messy', 'fun']",🚩Red Flag,['messy']
Introvert seeking mutual ignoring,"['introvert', 'seeking', 'mutual', 'ignoring']",🤷‍♂️No Clear Signal,[]
Introverted extrovert,"['introverted', 'extrovert']",🤷‍♂️No Clear Signal,[]
Obsessed with retro video games.,"['obsessed', 'retro', 'video', 'game']",🚩Red Flag,['obsessed']
naps are sacred,"['nap', 'sacred']",🤷‍♂️No Clear Signal,[]
emo hours,"['emo', 'hour']",🤷‍♂️No Clear Signal,[]
drinks tea constantly,"['drink', 'tea', 'constantly']",🤷‍♂️No Clear Signal,[]
love sarcasm more than humans,"['love', 'sarcasm', 'human']",🙂Mixed Signal,"['love', 'human', 'sarcasm']"
i nap anywhere tbh,"['nap', 'anywhere', 'tbh']",🤷‍♂️No Clear Signal,[]
emojis are life,"['emojis', 'life']",🌿Green Flag,['life']
i like red flags but only if they’re tall,"['like', 'red', 'flag', 'theyre', 'tall']",🚩Red Flag,['flag']
"Sweet chaos, occasional calm.","['sweet', 'chaos', 'occasional', 'calm']",🙂Mixed Signal,"['calm', 'chaos']"
"Beach hair, don’t care, tacos in hand.","['beach', 'hair', 'dont', 'care', 'taco', 'hand']",🌿Green Flag,['dont']
"Reads constantly, ghosting pro.","['read', 'constantly', 'ghosting', 'pro']",🤷‍♂️No Clear Signal,[]
"Pizza first, life second","['pizza', 'first', 'life', 'second']",🌿Green Flag,"['pizza', 'life']"
Will judge your playlist quietly,"['judge', 'playlist', 'quietly']",🤷‍♂️No Clear Signal,[]
messy but lovable,"['messy', 'lovable']",🚩Red Flag,['messy']
"Cat lover, avoids tough talks.","['cat', 'lover', 'avoids', 'tough', 'talk']",🌿Green Flag,['lover']
"Loves karaoke, dancing, and ice cream runs.","['love', 'karaoke', 'dancing', 'ice', 'cream', 'run']",🌿Green Flag,"['love', 'dancing']"
"tacos, naps, memes","['taco', 'nap', 'meme']",🤷‍♂️No Clear Signal,[]
just a vibe,['vibe'],🤷‍♂️No Clear Signal,[]
i overthink texts,"['overthink', 'text']",🚩Red Flag,['overthink']
currently unemployed but rich in memes,"['currently', 'unemployed', 'rich', 'meme']",🤷‍♂️No Clear Signal,[]
Currently ignoring all responsibilities,"['currently', 'ignoring', 'responsibility']",🤷‍♂️No Clear Signal,[]
obsessed with iced coffee,"['obsessed', 'iced', 'coffee']",🙂Mixed Signal,"['coffee', 'obsessed']"
"I binge shows, avoid reality.","['binge', 'show', 'avoid', 'reality']",🤷‍♂️No Clear Signal,[]
Recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']",🚩Red Flag,['chaos']
"Gamer at heart, foodie in spirit.","['gamer', 'heart', 'foodie', 'spirit']",🤷‍♂️No Clear Signal,[]
"Amateur musician, karaoke lover.","['amateur', 'musician', 'karaoke', 'lover']",🌿Green Flag,['lover']
dont match if u cant joke,"['dont', 'match', 'u', 'cant', 'joke']",🌿Green Flag,['dont']
Beach walks over city lights.,"['beach', 'walk', 'city', 'light']",🤷‍♂️No Clear Signal,[]
"Occasionally kind, mostly chaotic.","['occasionally', 'kind', 'mostly', 'chaotic']",🤷‍♂️No Clear Signal,[]
pizza is bae,"['pizza', 'bae']",🌿Green Flag,['pizza']
"Loves quiet nights, loud laughs, and tacos.","['love', 'quiet', 'night', 'loud', 'laugh', 'taco']",🌿Green Flag,"['love', 'quiet', 'laugh']"
introvert vibes forever,"['introvert', 'vibe', 'forever']",🤷‍♂️No Clear Signal,[]
Professional chaos coordinator,"['professional', 'chaos', 'coordinator']",🙂Mixed Signal,"['professional', 'chaos']"
I laugh at my own jokes,"['laugh', 'joke']",🌿Green Flag,['laugh']
gym & chill,"['gym', 'chill']",🌿Green Flag,['chill']
work and chill,"['work', 'chill']",🌿Green Flag,['chill']
I give advice I don’t follow.,"['give', 'advice', 'dont', 'follow']",🌿Green Flag,['dont']
GYM RAT 💪,"['gym', 'rat']",🤷‍♂️No Clear Signal,[]
Introvert seeking another introvert,"['introvert', 'seeking', 'another', 'introvert']",🤷‍♂️No Clear Signal,[]
"Wine lover, ghosted recently.","['wine', 'lover', 'ghosted', 'recently']",🌿Green Flag,['lover']
Sarcasm enthusiast,"['sarcasm', 'enthusiast']",🙂Mixed Signal,"['enthusiast', 'sarcasm']"
match me if you know your birth chart,"['match', 'know', 'birth', 'chart']",🤷‍♂️No Clear Signal,[]
"I overanalyze, then shrug.","['overanalyze', 'shrug']",🤷‍♂️No Clear Signal,[]
"knows the difference between “there,” “their,” and “they’re”","['know', 'difference', 'theyre']",🤷‍♂️No Clear Signal,[]
"I roast, then give hugs.","['roast', 'give', 'hug']",🤷‍♂️No Clear Signal,[]
Professional napper,"['professional', 'napper']",🌿Green Flag,['professional']
"Knows all memes, avoids confrontation.","['know', 'meme', 'avoids', 'confrontation']",🤷‍♂️No Clear Signal,[]
talks too much,"['talk', 'much']",🤷‍♂️No Clear Signal,[]
love memes,"['love', 'meme']",🌿Green Flag,['love']
"Sarcastic, sweet, and slightly chaotic.","['sarcastic', 'sweet', 'slightly', 'chaotic']",🤷‍♂️No Clear Signal,[]
"Dog lover, meme collector, chocolate eater.","['dog', 'lover', 'meme', 'collector', 'chocolate', 'eater']",🌿Green Flag,"['dog', 'lover']"
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
Bookworm with a Netflix problem 📚📺,"['bookworm', 'netflix', 'problem']",🌿Green Flag,['bookworm']
tacos pls,"['taco', 'pls']",🤷‍♂️No Clear Signal,[]
obsessed with sunsets,"['obsessed', 'sunset']",🚩Red Flag,['obsessed']
obsessed w memes,"['obsessed', 'w', 'meme']",🚩Red Flag,['obsessed']
Obsessed with sunsets and good wine.,"['obsessed', 'sunset', 'good', 'wine']",🚩Red Flag,['obsessed']
Recovering overthinker,"['recovering', 'overthinker']",🤷‍♂️No Clear Signal,[]
Professional napper,"['professional', 'napper']",🌿Green Flag,['professional']
"I whisper to plants, they ignore me","['whisper', 'plant', 'ignore']",🤷‍♂️No Clear Signal,[]
Will judge your memes silently,"['judge', 'meme', 'silently']",🤷‍♂️No Clear Signal,[]
"I flirt, then disappear mysteriously.","['flirt', 'disappear', 'mysteriously']",🚩Red Flag,['flirt']
I smile a lot… but sometimes I judge. 😏,"['smile', 'lot', 'sometimes', 'judge']",🤷‍♂️No Clear Signal,[]
fun fact: i sabotage everything good,"['fun', 'fact', 'sabotage', 'everything', 'good']",🚩Red Flag,['sabotage']
emojis speak 4 me,"['emojis', 'speak']",🤷‍♂️No Clear Signal,[]
"i overthink, always","['overthink', 'always']",🙂Mixed Signal,"['always', 'overthink']"
Obsessed with travel photos.,"['obsessed', 'travel', 'photo']",🚩Red Flag,['obsessed']
Amateur chef seeking taste tester for life.,"['amateur', 'chef', 'seeking', 'taste', 'tester', 'life']",🌿Green Flag,['life']
Always planning… sometimes overthinking. 📅😵,"['always', 'planning', 'sometimes', 'overthinking']",🌿Green Flag,['always']
"Will steal your fries, politely","['steal', 'fry', 'politely']",🚩Red Flag,['steal']
trying to stay grounded but I daydream too much,"['trying', 'stay', 'grounded', 'daydream', 'much']",🌿Green Flag,['grounded']
love memes & naps,"['love', 'meme', 'nap']",🌿Green Flag,['love']
I overthink and nap simultaneously,"['overthink', 'nap', 'simultaneously']",🚩Red Flag,['overthink']
drama free pls,"['drama', 'free', 'pls']",🚩Red Flag,['drama']
i like food,"['like', 'food']",🤷‍♂️No Clear Signal,[]
"Obsessed with astrology, skeptical of people.","['obsessed', 'astrology', 'skeptical', 'people']",🚩Red Flag,['obsessed']
Gamer seeking co-op partner.,"['gamer', 'seeking', 'coop', 'partner']",🤷‍♂️No Clear Signal,[]
"Night owl, meme hoarder, overthinker.","['night', 'owl', 'meme', 'hoarder', 'overthinker']",🤷‍♂️No Clear Signal,[]
"I flirt, then forget what I said.","['flirt', 'forget', 'said']",🚩Red Flag,['flirt']
dont take me too seriously,"['dont', 'take', 'seriously']",🌿Green Flag,['dont']
"Professional overthinker, amateur adult","['professional', 'overthinker', 'amateur', 'adult']",🌿Green Flag,['professional']
might steal ur fries,"['might', 'steal', 'ur', 'fry']",🚩Red Flag,['steal']
casual & messy,"['casual', 'messy']",🚩Red Flag,['messy']
"Reads constantly, ghosted recently.","['read', 'constantly', 'ghosted', 'recently']",🤷‍♂️No Clear Signal,[]
loves spontaneous fun,"['love', 'spontaneous', 'fun']",🌿Green Flag,['love']
Flirt like you mean it,"['flirt', 'like', 'mean']",🚩Red Flag,['flirt']
messy hair dont care,"['messy', 'hair', 'dont', 'care']",🙂Mixed Signal,"['dont', 'messy']"
"Coffee addict, bookworm, chaos seeker.","['coffee', 'addict', 'bookworm', 'chaos', 'seeker']",🙂Mixed Signal,"['coffee', 'bookworm', 'chaos']"
Professional meme curator,"['professional', 'meme', 'curator']",🌿Green Flag,['professional']
"if you can’t keep up, don’t start","['cant', 'keep', 'dont', 'start']",🌿Green Flag,['dont']
Beach walks and coffee runs > everything.,"['beach', 'walk', 'coffee', 'run', 'everything']",🌿Green Flag,['coffee']
Currently ignoring responsibilities,"['currently', 'ignoring', 'responsibility']",🤷‍♂️No Clear Signal,[]
dont talk 2 me,"['dont', 'talk']",🌿Green Flag,['dont']
Bookworm looking for someone to debate plot twists.,"['bookworm', 'looking', 'someone', 'debate', 'plot', 'twist']",🌿Green Flag,['bookworm']
I’ll fight for you… then make you beg. 😏,"['ill', 'fight', 'make', 'beg']",🚩Red Flag,['fight']
messy & fun,"['messy', 'fun']",🚩Red Flag,['messy']
"Fitness junkie, sometimes too judgmental.","['fitness', 'junkie', 'sometimes', 'judgmental']",🤷‍♂️No Clear Signal,[]
"Cat parent, flaky mid-day.","['cat', 'parent', 'flaky', 'midday']",🤷‍♂️No Clear Signal,[]
night owl,"['night', 'owl']",🤷‍♂️No Clear Signal,[]
loves a challenge,"['love', 'challenge']",🌿Green Flag,['love']
"Love books, hate responsibilities.","['love', 'book', 'hate', 'responsibility']",🌿Green Flag,['love']
kinda mysterious,"['kinda', 'mysterious']",🤷‍♂️No Clear Signal,[]
introverted chaos vibes,"['introverted', 'chaos', 'vibe']",🚩Red Flag,['chaos']
"Professional overthinker, chaos magnet","['professional', 'overthinker', 'chaos', 'magnet']",🙂Mixed Signal,"['professional', 'chaos']"
Will challenge you to Mario Kart and crush your soul,"['challenge', 'mario', 'kart', 'crush', 'soul']",🌿Green Flag,['soul']
"Beach walks, starry nights, good vibes only.","['beach', 'walk', 'starry', 'night', 'good', 'vibe']",🤷‍♂️No Clear Signal,[]
Sweet but dangerous energy.,"['sweet', 'dangerous', 'energy']",🤷‍♂️No Clear Signal,[]
"Loves music festivals, ghosted after one night.","['love', 'music', 'festival', 'ghosted', 'one', 'night']",🌿Green Flag,['love']
bad at commitment,"['bad', 'commitment']",🚩Red Flag,['bad']
"I’ll cook you dinner, then forget your birthday.","['ill', 'cook', 'dinner', 'forget', 'birthday']",🤷‍♂️No Clear Signal,[]
sarcasm queen,"['sarcasm', 'queen']",🚩Red Flag,['sarcasm']
"i swear a lot, deal with it","['swear', 'lot', 'deal']",🤷‍♂️No Clear Signal,[]
hopeless romantic,"['hopeless', 'romantic']",🌿Green Flag,['romantic']
"I whisper to plants, they ignore me","['whisper', 'plant', 'ignore']",🤷‍♂️No Clear Signal,[]
obsessed with shoes,"['obsessed', 'shoe']",🚩Red Flag,['obsessed']
love emojis too much 😅,"['love', 'emojis', 'much']",🌿Green Flag,['love']
Obsessed with music festivals and coffee shops.,"['obsessed', 'music', 'festival', 'coffee', 'shop']",🙂Mixed Signal,"['coffee', 'obsessed']"
"Adventure seeker, commitment shy. 🏔️💔","['adventure', 'seeker', 'commitment', 'shy']",🤷‍♂️No Clear Signal,[]
"Living life with laughter, coffee, and good vibes 😂☕✨","['living', 'life', 'laughter', 'coffee', 'good', 'vibe']",🌿Green Flag,"['life', 'coffee']"
yes i’m clingy. yes i’m cute.,"['yes', 'im', 'clingy', 'yes', 'im', 'cute']",🌿Green Flag,['clingy']
my coping mechanism is flirting,"['coping', 'mechanism', 'flirting']",🚩Red Flag,['coping']
"Obsessed with hiking, dogs, and good vibes.","['obsessed', 'hiking', 'dog', 'good', 'vibe']",🙂Mixed Signal,"['dog', 'obsessed']"
chaotic brain vibes,"['chaotic', 'brain', 'vibe']",🤷‍♂️No Clear Signal,[]
Flirt like you mean it,"['flirt', 'like', 'mean']",🚩Red Flag,['flirt']
"I binge-read, then binge-cry.","['bingeread', 'bingecry']",🤷‍♂️No Clear Signal,[]
Flirt level: dangerously charming,"['flirt', 'level', 'dangerously', 'charming']",🚩Red Flag,['flirt']
awkward is my cardio,"['awkward', 'cardio']",🤷‍♂️No Clear Signal,[]
"Dog lover, cat hater, emotionally unavailable.","['dog', 'lover', 'cat', 'hater', 'emotionally', 'unavailable']",🙂Mixed Signal,"['dog', 'lover', 'unavailable']"
lowkey savage,"['lowkey', 'savage']",🤷‍♂️No Clear Signal,[]
obsessed w tea,"['obsessed', 'w', 'tea']",🚩Red Flag,['obsessed']
LOL ok,"['lol', 'ok']",🤷‍♂️No Clear Signal,[]
"I’ll steal your hoodie, not your heart.","['ill', 'steal', 'hoodie', 'heart']",🚩Red Flag,['steal']
