bio,gender,age,city,platform
Introverted extrovert,Non-binary,18,Houston,OkCupid
"love cats, tolerate ppl",Female,19,LA,OkCupid
workaholic wannabe,Non-binary,34,Dallas,Hinge
Life of the party… until it’s inconvenient for me. 😈,Non-binary,19,Las Vegas,Bumble
could be your ex,Female,42,San Fransisco,Tinder
might steal ur fries,Male,32,LA,Bumble
Netflix & nap enthusiast 🎬😴,Male,27,Philadelphia,CMB
"Hopeless romantic, lover of rom-coms 💔🎬",Male,18,LA,OkCupid
dog mom in training,Non-binary,20,Philadelphia,Bumble
"Fluent in sarcasm, awkward humor, and ice cream.",Male,37,Philadelphia,CMB
"Amateur writer, coffee lover.",Non-binary,29,San Fransisco,OkCupid
Amateur photographer chasing sunsets.,Male,26,LA,CMB
tacos & naps,Female,25,New York,OkCupid
Currently avoiding adulthood like a pro,Non-binary,20,Las Vegas,Hinge
Beach bum with a love for books and sunsets.,Male,43,Houston,CMB
"Flirt dangerously, nap responsibly",Non-binary,29,Chicago,Hinge
my playlist is messy,Non-binary,28,LA,Bumble
"forever hungry, never full",Non-binary,36,Chicago,OkCupid
if u cant handle sarcasm dont talk to me,Male,45,Houston,OkCupid
let’s talk about what lights you up,Female,27,Chicago,Hinge
night owl vibes 🌙,Non-binary,40,Houston,CMB
dogs > humans,Female,31,LA,Tinder
might annoy u,Male,29,LA,CMB
Professional overthinker,Non-binary,42,Dallas,Tinder
Sarcasm is my love language. 😎💬,Male,38,Dallas,CMB
Loves cooking experiments and tasting fails.,Non-binary,35,Houston,Bumble
love food more than ppl,Male,39,Dallas,Tinder
"I care too little, then too much.",Female,45,Houston,CMB
"I flirt, then forget what I said.",Male,37,Chicago,Tinder
Obsessed with memes and iced coffee 😂☕,Male,45,Philadelphia,OkCupid
"Pizza is love, pizza is life 🍕💖",Non-binary,27,San Fransisco,Hinge
Obsessed with vintage shops and street food.,Non-binary,32,Houston,Tinder
i like red flags but only if they’re tall,Female,33,LA,CMB
talk to me maybe,Female,27,Las Vegas,Tinder
Always chasing sunsets and new adventures 🌅🌍,Non-binary,19,San Fransisco,OkCupid
i sing in shower,Male,30,Chicago,Tinder
i scream at games,Female,31,San Fransisco,Hinge
loves cuddles,Male,36,Dallas,Bumble
I trip over flat surfaces… elegantly,Non-binary,42,Philadelphia,CMB
Flirt dangerously,Female,33,Las Vegas,Tinder
"Gym rat, sometimes clingy.",Non-binary,34,New York,CMB
obsessed w dogs,Female,28,LA,Hinge
dogs are everything,Male,19,Philadelphia,Tinder
gym & chill,Non-binary,21,Philadelphia,CMB
"Gamer, foodie, coffee addict.",Female,36,Philadelphia,Tinder
bad jokes included for free,Non-binary,38,Dallas,Hinge
"work hard, nap harder",Male,21,Houston,Hinge
"I love cats, hate clinginess.",Female,38,Houston,Hinge
naps > plans,Female,23,San Fransisco,CMB
lolol,Non-binary,36,LA,OkCupid
"Foodie, ignores texts.",Female,24,San Fransisco,OkCupid
messy & fun,Male,19,Las Vegas,Hinge
Obsessed with postcards and letters.,Non-binary,25,Dallas,OkCupid
"Pizza enthusiast, people optional",Female,21,Chicago,Bumble
I’ll fight for you… then make you beg. 😏,Female,31,Philadelphia,Bumble
"Coffee first, chaos later ☕🔥",Male,45,San Fransisco,CMB
loves attention,Non-binary,37,New York,Tinder
"Obsessed with sunsets, dogs, and good vibes.",Female,44,Chicago,Hinge
"Cat lover, avoids deep chats.",Non-binary,24,Chicago,Bumble
"I flirt, disappear, return dramatically.",Male,37,San Fransisco,Tinder
shy af,Male,41,Dallas,OkCupid
"Flirt responsibly, snack recklessly",Female,41,Dallas,OkCupid
Loves swimming but hates chlorine.,Non-binary,39,San Fransisco,OkCupid
"Amateur painter, professional overthinker.",Non-binary,45,Philadelphia,Tinder
talk later,Non-binary,22,San Fransisco,Tinder
Flirting like it’s my full-time job,Male,27,Philadelphia,OkCupid
love memes & tacos,Female,41,Houston,CMB
Loves baking and sharing desserts,Male,38,Chicago,Tinder
I overthink and nap simultaneously,Male,40,San Fransisco,Tinder
"Will steal your fries, politely",Male,40,New York,Bumble
"Dog mom, chaos enthusiast",Non-binary,35,San Fransisco,Tinder
Fluent in sarcasm and movie quotes.,Non-binary,33,Philadelphia,OkCupid
not looking 4 drama pls,Non-binary,37,LA,Bumble
"i ghost sometimes, not sorry",Non-binary,31,Houston,Bumble
"Loves philosophy, ignores texts for hours.",Non-binary,18,Houston,Bumble
"I plan trips, ghost sometimes.",Female,42,Philadelphia,OkCupid
"always late, never sorry",Non-binary,38,Chicago,Hinge
i scream at movies,Non-binary,43,San Fransisco,Tinder
love me or fight me,Non-binary,24,Philadelphia,CMB
tired af,Non-binary,24,Dallas,Tinder
"Cat parent, avoids emotional depth.",Female,26,Dallas,CMB
dont text me first,Female,31,LA,OkCupid
Flirt level: dangerously charming,Male,27,New York,Tinder
i panic too often,Male,35,San Fransisco,CMB
tired but still awake,Female,25,Las Vegas,OkCupid
looking for someone to blame things on,Female,40,San Fransisco,CMB
Chill vibes with chaotic bursts.,Non-binary,32,Philadelphia,OkCupid
"Weekend hiker, weekday napper.",Male,19,Chicago,OkCupid
gym & memes,Male,42,LA,CMB
awkward penguin,Female,39,Dallas,OkCupid
i write random stuff,Male,30,Dallas,Tinder
pizza > everything,Male,25,Chicago,OkCupid
memes > life,Male,19,Philadelphia,Tinder
"sarcastic, but never mean.",Female,34,Philadelphia,CMB
"Night owl, chaos lover, meme enthusiast.",Non-binary,23,New York,OkCupid
introvert probs,Female,39,Philadelphia,CMB
extroverted introvert,Female,37,LA,Bumble
pizza > everything,Female,32,Dallas,Bumble
"Beach walks, starry nights, good vibes only.",Female,30,Las Vegas,CMB
Sarcasm: my second language,Female,23,Philadelphia,Hinge
overthinker & chaotic,Female,40,Dallas,Bumble
love memes & naps,Male,21,New York,CMB
love memes & coffee,Female,43,Chicago,Tinder
beach > mountains,Male,28,San Fransisco,Bumble
like deep talks and dumb memes. not into hookups but will fall for anyone who smells like cinnamon.,Non-binary,36,Las Vegas,Hinge
i sing in shower sometimes,Non-binary,19,New York,Tinder
Funny but emotionally unavailable.,Non-binary,30,Houston,Hinge
i text back sometimes,Non-binary,23,Philadelphia,Hinge
Obsessed with sunrise yoga.,Male,34,Chicago,OkCupid
sarcasm queen,Female,35,Chicago,OkCupid
talk nerdy 2 me,Non-binary,45,Dallas,Hinge
i talk 2 myself,Male,33,San Fransisco,Tinder
Green thumb but forgets anniversaries.,Female,28,Houston,OkCupid
"Flirt with me, regret nothing.",Female,40,LA,Hinge
Introvert seeking mutual ignoring,Non-binary,27,Chicago,Tinder
"I say what I mean, and I mean it kindly",Non-binary,29,San Fransisco,Tinder
Gamer seeking co-pilot for life’s adventures.,Female,44,Houston,OkCupid
dogs > humans obviously,Non-binary,38,Las Vegas,Hinge
drinks coffee constantly,Non-binary,20,Philadelphia,Tinder
single but thriving,Non-binary,31,Las Vegas,Hinge
travel bug but broke af,Non-binary,29,Houston,OkCupid
please don’t trauma dump unless it’s interesting,Male,19,Houston,Tinder
I’ll cook for you… then complain about cleanup. 🍳😅,Non-binary,36,LA,Tinder
"i swear a lot, deal w it",Non-binary,39,Philadelphia,CMB
loves sarcasm,Non-binary,39,LA,Hinge
Flirt level: dangerously charming,Non-binary,41,San Fransisco,CMB
"Gamer, foodie, meme lover.",Non-binary,36,Chicago,OkCupid
lonely but funny,Non-binary,23,Chicago,Bumble
obsessed w memes,Male,38,Philadelphia,OkCupid
tacos over humans,Female,19,Dallas,CMB
Sarcasm enthusiast,Non-binary,44,Las Vegas,Hinge
bad at math,Non-binary,37,San Fransisco,Bumble
"I binge memes, avoid responsibility.",Non-binary,35,Chicago,CMB
pizza is bae,Male,29,Houston,Bumble
loves midnight snacks,Male,44,New York,Bumble
talks too much,Non-binary,44,Houston,Bumble
coffee & chaos always,Male,20,San Fransisco,CMB
tacos pls,Male,42,Las Vegas,Hinge
Currently ignoring responsibilities,Male,32,LA,Bumble
"Fluent in sarcasm, bad jokes, and chaos.",Male,27,Chicago,Tinder
chaotic brain alert,Female,34,Houston,Bumble
sometimes too honest,Female,18,Las Vegas,Tinder
"Coffee lover, ghosted once.",Non-binary,26,Las Vegas,Hinge
i laugh weirdly,Female,31,Las Vegas,Bumble
i like bad jokes,Female,45,Philadelphia,Tinder
"you’ll never meet another me, and that’s a threat",Male,30,Houston,CMB
"Can’t cook, but can microwave like a champ",Non-binary,38,Las Vegas,CMB
swipe right if u like chaos,Female,21,LA,Tinder
loves midnight walks,Male,43,Houston,Hinge
"I overanalyze, then shrug.",Male,35,LA,CMB
wanderlust but lazy,Female,43,LA,CMB
Fitness lover with a love for tacos.,Male,25,Las Vegas,Tinder
"Avid reader, bad dancer, good listener.",Non-binary,23,Houston,Tinder
"Loves sunsets, long drives, and chocolate.",Male,26,Las Vegas,Bumble
just got out of therapy. ready to date again,Female,31,Philadelphia,OkCupid
"Fitness buff, avoids emotional depth.",Male,19,New York,Hinge
Fluent in movie quotes and bad puns.,Male,39,Houston,CMB
naps > responsibilities,Non-binary,41,Dallas,CMB
Pizza fanatic and professional napper 🍕😴,Male,42,New York,Tinder
Movie marathoner with a passion for sarcasm.,Non-binary,34,Chicago,Tinder
"Dreaming big, napping often.",Male,30,Las Vegas,Bumble
Living for spontaneous road trips 🚗🌄,Male,34,Philadelphia,Bumble
love my friends more than u,Non-binary,32,Las Vegas,Hinge
here to give u trust issues,Male,44,Chicago,Bumble
i sing badly but loud,Non-binary,39,San Fransisco,Hinge
"Adventure awaits, and I’m ready ✈️🔥",Non-binary,36,Philadelphia,Bumble
"I may ghost you, but I’ll send memes",Non-binary,20,LA,Bumble
Amateur chef with a taste for adventure.,Male,26,Dallas,Tinder
i talk too much,Female,41,Houston,Hinge
lowkey savage,Male,19,Las Vegas,Hinge
nap queen,Male,45,Houston,OkCupid
"Book hoarder, always reading something new.",Female,25,Dallas,Bumble
"Pizza > salad, fight me 🍕😎",Female,43,LA,OkCupid
Looking for a partner in crime… and snacks,Female,30,Dallas,Bumble
Will judge your memes silently,Non-binary,20,Dallas,Hinge
"Adventure seeker, flaky.",Female,41,New York,Tinder
Flirting: chaotic but cute,Female,29,Philadelphia,OkCupid
obsessed with dogs,Female,40,Houston,Bumble
love my dog more than ppl,Female,38,Las Vegas,Tinder
might ghost u,Male,28,Philadelphia,Hinge
Professional chaos coordinator,Male,19,Houston,OkCupid
"Night owl, music enthusiast, chaos lover.",Non-binary,19,Philadelphia,Tinder
"Pet parent, struggles with empathy.",Female,30,New York,CMB
Can’t survive without coffee or memes.,Female,29,Dallas,CMB
Fitness junkie with a soft spot for puppies.,Male,23,Las Vegas,Bumble
"Always laughing, sometimes crying.",Non-binary,32,New York,Bumble
lowkey flirty,Male,34,Dallas,Bumble
Professional meme sharer,Non-binary,21,New York,CMB
"I laugh too loud, regret it too often.",Female,33,Philadelphia,OkCupid
loves chocolate 🍫,Non-binary,21,Philadelphia,Bumble
messy but fun,Non-binary,28,Las Vegas,Tinder
Professional Netflix marathoner,Female,31,LA,CMB
Chill but I’ll ghost if you’re boring.,Female,42,Las Vegas,Bumble
Loves road trips and bad karaoke. 🎤🚗,Non-binary,26,Chicago,Hinge
dont follow me,Non-binary,35,Houston,CMB
obsesses over minor things,Male,34,San Fransisco,CMB
"Wine lover, flaky.",Female,26,LA,OkCupid
might steal ur fries,Female,37,Las Vegas,Bumble
you get full eye contact and my full attention,Female,34,Houston,Hinge
"yes to laughter, yes to loyalty",Female,40,San Fransisco,Hinge
tacos before talkies,Female,29,LA,Hinge
"Reads constantly, ghosting pro.",Male,33,Houston,CMB
loves sushi 🍣,Female,39,LA,Hinge
"Coffee in one hand, confidence in the other.",Female,18,San Fransisco,Tinder
i eat a lot,Non-binary,32,New York,Tinder
"I flirt, I ghost, I repeat.",Non-binary,36,San Fransisco,Hinge
"Cat lover, avoids tough talks.",Female,22,Chicago,Bumble
Sunrise chaser and sunset dreamer.,Male,33,LA,Tinder
Fitness enthusiast who can’t resist pizza.,Male,23,Chicago,Hinge
just existing,Female,34,Dallas,Hinge
i ghost sometimes,Non-binary,29,Dallas,OkCupid
Loves spicy food and awkward dancing.,Non-binary,44,New York,CMB
Loves quirky socks and bad jokes.,Male,42,Philadelphia,OkCupid
Recovering perfectionist,Non-binary,30,Houston,CMB
Netflix marathoner searching for a cuddle buddy.,Female,31,San Fransisco,CMB
bad at remembering names,Male,36,San Fransisco,Tinder
"I roast, then apologize with dessert.",Female,30,Houston,CMB
"Reads tarot, sometimes overanalyzes.",Non-binary,20,LA,CMB
"Gamer, flaky.",Male,20,Dallas,OkCupid
i overreact sometimes,Female,26,LA,Bumble
chaotic mood,Female,26,LA,Bumble
"Loves karaoke, dancing in the rain, and chocolate.",Female,25,New York,Bumble
kinda spontaneous,Female,29,Dallas,CMB
Currently training for a snack marathon,Non-binary,29,Chicago,OkCupid
"likes hugs, honesty, and holding hands",Female,25,Dallas,OkCupid
"Loves dogs, coffee, and deep conversations. 🐶☕",Male,28,Philadelphia,CMB
"Loves karaoke, dancing, and ice cream runs.",Non-binary,30,Philadelphia,Hinge
"Yoga enthusiast, coffee enthusiast, life enthusiast.",Female,29,Houston,OkCupid
Music lover with bad rhythm.,Female,21,New York,OkCupid
Obsessed with candles and cozy nights.,Female,24,Houston,Hinge
messy but fun,Non-binary,24,Houston,Bumble
lowkey savage,Non-binary,44,Dallas,Hinge
emojis > humans,Male,19,Philadelphia,Bumble
i panic sometimes,Non-binary,44,Las Vegas,Bumble
talk nerdy pls,Female,23,Dallas,CMB
coffee & chaos,Female,33,New York,Bumble
Night owl seeking fellow insomniac.,Female,43,LA,Bumble
"I steal fries, not hearts… usually",Female,30,Dallas,Tinder
broke girls don’t deserve peace ✌️,Male,27,LA,Hinge
Flirt dangerously,Male,26,Houston,Bumble
I overthink and nap simultaneously,Non-binary,18,New York,Tinder
Meme dealer and professional procrastinator 😂🛋️,Non-binary,33,New York,Hinge
pizza is bae,Male,29,Dallas,Tinder
"Fluent in sarcasm, memes, and chaos.",Female,40,Las Vegas,CMB
"Dog mom, chaos enthusiast",Female,32,Houston,Hinge
"mostly chill, sometimes chaotic. but always kind.",Female,31,San Fransisco,Bumble
"Loves photography, forgets to respond.",Male,45,LA,CMB
Pizza > Everything else,Male,18,Chicago,OkCupid
"I steal fries, not hearts… usually",Female,45,San Fransisco,OkCupid
I overthink and nap simultaneously,Non-binary,29,New York,Hinge
"Beach days, long drives, and good vibes.",Female,44,New York,CMB
lazy & cute,Female,27,Philadelphia,CMB
coffee > everything else,Male,32,Las Vegas,CMB
Obsessed with sunsets and iced lattes.,Female,38,Houston,Hinge
Dog lover and meme curator 🐶😂,Female,38,New York,Bumble
Professional napper,Non-binary,33,Philadelphia,Hinge
"full-time dog lover, part-time sunset chaser 🐶🌅",Non-binary,45,San Fransisco,OkCupid
obsessed with iced coffee,Male,27,Philadelphia,OkCupid
emo & fun,Female,38,Philadelphia,Hinge
Professional chaos coordinator,Male,29,New York,Tinder
messy but cute,Non-binary,27,Dallas,CMB
"Loves cats, coffee, and cozy nights.",Female,45,Houston,OkCupid
lowkey dramatic,Female,27,LA,Hinge
emojis are life ❤️🔥😂,Non-binary,37,LA,CMB
"Flirt responsibly, snack recklessly",Non-binary,41,Dallas,Bumble
just another human,Female,37,San Fransisco,Tinder
emotionally responsible. financially decent. artistically confused.,Male,27,New York,Bumble
"Loves camping, music, and street food.",Female,22,Houston,Bumble
Professional overthinker,Non-binary,30,Las Vegas,CMB
Beach bum with a love for books and coffee.,Female,42,Philadelphia,Hinge
"Dog cuddler, human tester.",Non-binary,22,Dallas,Hinge
"I may ghost you, but I’ll send memes",Male,21,Las Vegas,Tinder
I overanalyze emojis.,Non-binary,36,Houston,Bumble
I laugh at my own jokes,Non-binary,45,Dallas,OkCupid
loves long walks,Female,40,New York,Tinder
pizza > salad fight me,Non-binary,32,Dallas,Tinder
DramaFreeQueen,Male,29,New York,Bumble
coffee addict forever,Female,30,LA,CMB
Beach bum with a love for books and chocolate.,Male,37,LA,CMB
"Sweet chaos, coffee enthusiast.",Non-binary,37,LA,OkCupid
Caffeine-dependent disaster,Female,34,LA,CMB
Currently avoiding adulthood at all costs,Male,38,Philadelphia,OkCupid
introvert but social sometimes,Non-binary,29,San Fransisco,CMB
I overthink everything… including this bio,Female,35,Philadelphia,OkCupid
Obsessed with scented candles and cozy vibes.,Female,32,San Fransisco,Tinder
"Dog mom, chaos enthusiast",Male,27,Philadelphia,CMB
Currently avoiding adulthood,Non-binary,18,New York,Tinder
"Can cook pasta, can’t handle commitment.",Female,21,Houston,OkCupid
Cat mom/dad looking for fellow animal lover.,Non-binary,38,Chicago,CMB
Currently avoiding adulthood creatively,Male,37,New York,Tinder
Introverted extrovert,Non-binary,44,Philadelphia,Tinder
"Gamer, secretly moody.",Female,31,LA,OkCupid
looking for someone to steal fries with,Male,26,Las Vegas,Hinge
"I care too much, then disappear.",Non-binary,32,Dallas,Tinder
Amateur baker seeking taste tester.,Female,20,Las Vegas,OkCupid
too many tabs open in brain,Female,41,LA,Tinder
swipe right if ur emotionally reckless too,Male,45,Dallas,CMB
Will steal your fries and leave politely,Female,28,Houston,Hinge
"Cat parent, occasionally flaky.",Non-binary,38,Houston,Tinder
lowkey dramatic,Non-binary,18,Chicago,CMB
"Wine fan, flaky.",Female,32,Las Vegas,OkCupid
"Professional overthinker, amateur napper",Male,23,LA,Hinge
i sometimes ghost but its not personal,Male,18,Houston,OkCupid
introvert but extra sometimes,Male,40,Philadelphia,Hinge
Therapist said this might help 💀,Male,24,Chicago,OkCupid
I’ll steal your fries and your heart.,Male,18,Chicago,Bumble
naps > humans,Male,43,Houston,Tinder
naps > anything,Female,44,Philadelphia,Hinge
chaotic & lovable,Male,36,Dallas,Tinder
love memes too much,Non-binary,38,Dallas,CMB
Obsessed with unique experiences.,Female,35,Las Vegas,Tinder
i talk too fast,Non-binary,33,New York,CMB
pizza lover forever,Non-binary,25,Chicago,Hinge
bored rn,Female,32,Chicago,Bumble
messy bun & coffee,Male,37,LA,Bumble
dogs are life,Non-binary,41,Philadelphia,CMB
Serial overthinker with snacks,Male,19,Houston,Bumble
fashion disaster,Male,19,Philadelphia,Tinder
"Keeps journals, yet avoids emotional depth.",Male,40,Dallas,Hinge
"I trip over nothing, impressively",Male,38,Las Vegas,Tinder
"I overanalyze emojis, texts, life.",Non-binary,43,Dallas,Hinge
Recovering chaos magnet,Non-binary,26,Philadelphia,CMB
"Amateur painter, daydreamer, chaos seeker.",Female,36,San Fransisco,Tinder
Obsessed with sunsets and cozy nights.,Non-binary,32,San Fransisco,CMB
"Loves road trips, flaky mid-trip.",Male,34,New York,Hinge
"I love deep convos, but I hate confrontation.",Female,38,Las Vegas,OkCupid
Caffeine-fueled chaos magnet,Non-binary,25,New York,OkCupid
i overreact sometimes,Male,30,San Fransisco,Tinder
Travel addict stuck in a 9–5 mind.,Male,20,Las Vegas,Hinge
"I whisper to plants, they judge me",Female,31,Philadelphia,Bumble
Flirt like you mean it,Female,19,Dallas,Hinge
binge eat & regret later,Non-binary,42,Philadelphia,OkCupid
"Obsessed with hiking, photography, and spontaneous adventures.",Non-binary,29,Houston,Bumble
sarcastic AF,Non-binary,23,San Fransisco,OkCupid
emo queen,Non-binary,28,LA,Tinder
currently unemployed but rich in memes,Male,44,San Fransisco,Hinge
likes late night texts,Female,41,Houston,CMB
Netflix > Responsibilities,Male,40,Las Vegas,CMB
"Loves karaoke, dancing in the rain, and chocolate.",Non-binary,33,Chicago,Bumble
"Dog whisperer, human negotiator 🐶",Non-binary,30,Philadelphia,OkCupid
Obsessed with vintage clothing finds.,Male,19,Houston,OkCupid
lowkey dramatic,Female,24,San Fransisco,Bumble
i nap anywhere tbh,Female,34,New York,Hinge
Professional napper,Female,38,Houston,Bumble
"Amateur dancer, professional overthinker.",Non-binary,22,Las Vegas,CMB
kinda awkward,Female,41,Houston,OkCupid
"Amateur poet, music enthusiast.",Non-binary,32,San Fransisco,OkCupid
"if we match, u got lucky. i never swipe right",Non-binary,31,Dallas,CMB
Amateur baker seeking taste tester.,Male,42,Dallas,Bumble
"i overthink, sorry",Non-binary,42,New York,CMB
you’ll never have to guess with me,Male,25,Houston,CMB
"Fluent in sarcasm, memes, and awkward situations.",Female,45,Las Vegas,OkCupid
I may or may not text back promptly,Male,32,Las Vegas,OkCupid
"Loves festivals, hates the crowd.",Female,19,LA,CMB
won’t answer if ur not funny,Female,29,Las Vegas,Tinder
i binge shows & cry,Non-binary,35,San Fransisco,OkCupid
dog > people,Male,34,Chicago,Tinder
May steal your hoodie,Non-binary,22,Chicago,Hinge
sarcasm queen 😈,Female,23,LA,OkCupid
Movie lover seeking critique buddy.,Female,32,Dallas,CMB
"Flirt dangerously, nap responsibly",Male,23,Houston,Bumble
sarcastic af,Non-binary,38,Philadelphia,Bumble
"I flirt shamelessly, regret occasionally.",Male,22,Philadelphia,Bumble
loves stars 🌌,Female,40,San Fransisco,OkCupid
Sarcasm enthusiast,Male,22,Houston,CMB
"i swear a lot, deal with it",Female,45,New York,Bumble
Currently training for a snack marathon,Non-binary,23,Chicago,Hinge
i cry at disney movies,Male,33,Philadelphia,Hinge
"I flirt shamelessly, think deeply.",Male,30,Chicago,CMB
casual & messy,Male,40,Dallas,Hinge
"Fluent in sarcasm, bad jokes, and eye rolls.",Male,37,Las Vegas,Bumble
obsessed with memes,Female,19,San Fransisco,Bumble
dogs over humans,Non-binary,44,Chicago,Tinder
coffee is bae ☕,Male,43,Dallas,Tinder
"Loves random trips, hates traffic. 🏞️🚗",Non-binary,38,LA,CMB
"Gamer, avoids emotional depth.",Male,41,San Fransisco,OkCupid
"Loves meditation, avoids tough talks.",Female,39,Houston,Bumble
obsessed w dogs 🐶,Female,20,Houston,Tinder
Coffee addict with a passion for bad puns,Female,36,LA,Tinder
love hiking… sometimes lol,Non-binary,18,LA,Tinder
I’ll plan your vacation but forget our anniversary.,Non-binary,35,Chicago,CMB
Introvert pretending to be extrovert sometimes.,Female,31,Chicago,OkCupid
my playlist is my mood,Non-binary,45,LA,Bumble
Professional napper,Female,20,LA,OkCupid
Recovering chaos magnet,Non-binary,44,Dallas,Bumble
in my healing era but still choosing violence,Female,35,Las Vegas,Bumble
obsessed with dogs,Male,44,Chicago,CMB
been single by choice. now choosing connection,Female,33,LA,Tinder
I write bios better than I write essays,Male,42,Philadelphia,OkCupid
Netflix binge partner wanted.,Female,37,San Fransisco,Hinge
Flirt like you mean it,Female,32,Las Vegas,Tinder
memes > romance,Female,28,San Fransisco,Hinge
Life’s messy. I prefer honesty over perfection,Male,30,LA,CMB
i talk 2 myself,Female,33,Houston,CMB
let’s be weird and honest and deeply safe,Female,29,Chicago,Tinder
overthink & nap queen,Male,38,Houston,Tinder
i talk too much omg,Male,43,Chicago,CMB
speaks fluent emoji,Non-binary,27,San Fransisco,Hinge
drinks tea constantly,Non-binary,42,San Fransisco,Tinder
"Knows all memes, avoids confrontation.",Female,21,San Fransisco,Tinder
not the best at flirting but I’m great at showing up,Non-binary,28,Las Vegas,Tinder
looking for my next mistake,Female,20,Philadelphia,Tinder
panic at random times,Non-binary,25,Chicago,Hinge
"Passionate about painting, avoids deep conversations.",Female,43,Houston,CMB
love sarcasm & chaos,Non-binary,39,LA,Hinge
"i’m not clingy, you just give inconsistent energy",Male,45,New York,Hinge
Loves karaoke and awkward dancing.,Non-binary,41,Chicago,Hinge
"Board game fanatic, forgets anniversaries.",Female,42,Dallas,OkCupid
"Recovering perfectionist, snack lover",Female,43,Houston,Hinge
Loves random road trips and laughter.,Female,36,New York,Hinge
"Love adventures, hate explanations.",Female,36,Houston,Tinder
"Professional overthinker, amateur napper",Male,21,Chicago,Bumble
Sarcasm is my love language,Non-binary,35,Las Vegas,Bumble
"Loves road trips, hates traffic.",Female,36,Dallas,Bumble
could sleep 24/7,Non-binary,44,Las Vegas,Bumble
my ex was the problem. obviously.,Female,32,San Fransisco,CMB
"Obsessed with dogs, street food, and spontaneity.",Female,27,Dallas,Tinder
pizza is bae,Non-binary,18,LA,Tinder
overthinker vibes,Female,21,Chicago,Hinge
Sarcasm is my love language,Male,42,Houston,Hinge
sleepy queen,Female,22,Las Vegas,Bumble
like 2 dogs,Non-binary,45,LA,Tinder
"Amateur poet, professional overthinker.",Non-binary,32,Las Vegas,Tinder
i nap anywhere anytime,Non-binary,28,Houston,OkCupid
Recovering overthinker seeking same,Male,43,Las Vegas,CMB
Currently avoiding adulthood at all costs,Female,41,Las Vegas,OkCupid
overthinker but loveable,Female,41,Houston,Bumble
coder at heart,Non-binary,23,San Fransisco,OkCupid
Obsessed with travel journals.,Female,41,Dallas,CMB
chill vibes only,Non-binary,42,Philadelphia,Tinder
"Loves brunch, flakes.",Female,29,LA,CMB
Likes morning runs… hates waking up. 🏃‍♂️😴,Male,24,Dallas,Bumble
Fluent in emojis and awkward eye contact,Male,23,Philadelphia,Tinder
Loves spontaneous plans and road trips.,Non-binary,25,Dallas,Hinge
naps are my superpower,Female,34,Chicago,Tinder
music is life,Female,40,New York,Tinder
"sarcastic, messy, fun",Male,45,Las Vegas,OkCupid
Flirty chaos enthusiast,Non-binary,42,Dallas,Bumble
"I love cats, tolerate humans.",Female,19,Dallas,Bumble
early riser? sometimes,Non-binary,44,New York,Bumble
Dog lover seeking park buddy.,Non-binary,23,San Fransisco,Hinge
"Gym freak, secretly clingy.",Male,36,New York,Hinge
"i ghost sometimes, sorry not sorry",Female,22,Dallas,OkCupid
Pizza > Everything else,Non-binary,34,LA,Bumble
Flirt like you mean it,Female,23,Philadelphia,Bumble
lowkey awesome,Male,21,LA,Hinge
messy hair dont care,Male,24,New York,Hinge
"Coffee addict, flaky.",Non-binary,21,Houston,Tinder
i nap anytime anywhere,Female,22,San Fransisco,Bumble
"I laugh too loud, think too much.",Male,30,Dallas,Tinder
obsessed w dogs,Female,22,San Fransisco,CMB
be TALLER than me in heels or don’t bother,Non-binary,27,San Fransisco,Bumble
"Weekend bruncher, weekday napper.",Non-binary,25,Houston,Bumble
Recovering perfectionist,Non-binary,23,Chicago,CMB
Loves cooking experiments gone right (and wrong).,Male,31,Las Vegas,OkCupid
introvert with fun side,Female,33,Houston,OkCupid
"I steal fries, not hearts… usually",Female,20,San Fransisco,OkCupid
Caffeine-dependent disaster,Non-binary,33,Houston,Bumble
Introvert with social battery issues,Non-binary,38,Las Vegas,OkCupid
i like bad boys but hate being hurt,Non-binary,39,Houston,OkCupid
coffee & sarcasm always,Male,39,Las Vegas,Bumble
Fluent in sarcasm and awkward humor.,Non-binary,45,New York,Tinder
i want a relationship that feels like exhale,Non-binary,20,Chicago,Hinge
"Night owl, early riser… balance is key.",Female,26,Las Vegas,CMB
awkward penguin,Female,40,Houston,Tinder
"Will prank you, then apologize sincerely. 😈🙏",Male,18,Chicago,CMB
"Adventure seeker, flaky.",Non-binary,27,Philadelphia,Tinder
sarcasm queen,Non-binary,36,Las Vegas,Tinder
Sarcasm enthusiast,Non-binary,40,San Fransisco,CMB
love emojis too much 😅,Male,41,Dallas,CMB
"i ghost, come back sometimes",Male,22,Philadelphia,Tinder
bad at texting,Female,29,Houston,Tinder
"Can be sweet, can be savage—depends on my mood.",Non-binary,42,Dallas,OkCupid
maybe bad influence,Female,44,Houston,Hinge
420 friendly 😉,Male,24,Philadelphia,Hinge
"Plant-based eater, but not judgmental.",Non-binary,33,Las Vegas,Tinder
I trip over flat surfaces,Non-binary,35,Chicago,Tinder
talks too much,Female,34,Las Vegas,Bumble
awkward af,Male,38,Chicago,Tinder
"Amateur dancer, coffee enthusiast.",Non-binary,32,Las Vegas,Bumble
coder vibes,Male,25,LA,Hinge
could be your ex,Female,41,San Fransisco,Tinder
loves a little danger,Non-binary,34,Dallas,Bumble
