bio,gender,age,city,gender,platform,filtered_tokens,lemmatized_tokens,flag_classification,reason
obsessed with iced coffee,Female,27,Philadelphia,Female,Bumble,"['obsessed', 'iced', 'coffee']","['obsess', 'iced', 'coffee']",🚩Red Flag,"obsess, coffee, coffee"
"I say what I feel, consequences be damned.",Female,38,Chicago,Female,OkCupid,"['say', 'feel', 'consequences', 'damned']","['say', 'feel', 'consequence', 'damn']",🤷‍♂️No Clear Signal,
i double text a lot,Non-binary,40,Chicago,Non-binary,Hinge,"['double', 'text', 'lot']","['double', 'text', 'lot']",🤷‍♂️No Clear Signal,
Currently ignoring adulthood creatively,Male,29,Philadelphia,Male,Bumble,"['currently', 'ignoring', 'adulthood', 'creatively']","['currently', 'ignore', 'adulthood', 'creatively']",🙂Mixed Flag,currently
memes > romance,Non-binary,43,Chicago,Non-binary,Tinder,"['memes', 'romance']","['meme', 'romance']",🌿Green Flag,meme
fun fact: i sabotage everything good,Female,39,Houston,Female,OkCupid,"['fun', 'fact', 'sabotage', 'everything', 'good']","['fun', 'fact', 'sabotage', 'everything', 'good']",🚩Red Flag,sabotage
Coffee addict with a passion for bad puns,Female,21,New York,Female,Tinder,"['coffee', 'addict', 'passion', 'bad', 'puns']","['coffee', 'addict', 'passion', 'bad', 'pun']",🚩Red Flag,"bad, bad, bad, coffee, passion, coffee"
love memes,Male,35,Houston,Male,Tinder,"['love', 'memes']","['love', 'meme']",🌿Green Flag,"love, meme"
"mostly chill, sometimes chaotic. but always kind.",Male,45,Philadelphia,Male,OkCupid,"['mostly', 'chill', 'sometimes', 'chaotic', 'always', 'kind']","['mostly', 'chill', 'sometimes', 'chaotic', 'always', 'kind']",🌿Green Flag,"chill, always, chill, chaotic, sometimes"
Sarcasm enthusiast,Female,25,San Fransisco,Female,CMB,"['sarcasm', 'enthusiast']","['sarcasm', 'enthusiast']",🚩Red Flag,"sarcasm, enthusiast"
"I overthink everything, including this bio.",Female,45,Houston,Female,OkCupid,"['overthink', 'everything', 'including', 'bio']","['overthink', 'everything', 'include', 'bio']",🚩Red Flag,"overthink, overthink, overthink"
looking 4 a chill buddy,Female,32,Houston,Female,CMB,"['looking', 'chill', 'buddy']","['look', 'chill', 'buddy']",🚩Red Flag,"look, chill, chill"
"Wine lover, manipulative sometimes.",Female,30,Las Vegas,Female,Tinder,"['wine', 'lover', 'manipulative', 'sometimes']","['wine', 'lover', 'manipulative', 'sometimes']",🌿Green Flag,"lover, sometimes"
sarcasm queen 😈,Male,18,Philadelphia,Male,Hinge,"['sarcasm', 'queen']","['sarcasm', 'queen']",🚩Red Flag,sarcasm
messy but lovable,Female,30,Dallas,Female,Hinge,"['messy', 'lovable']","['messy', 'lovable']",🚩Red Flag,"messy, messy, messy"
i write too many lists,Male,26,Philadelphia,Male,Tinder,"['write', 'many', 'lists']","['write', 'many', 'list']",🤷‍♂️No Clear Signal,
Recovering overthinker seeking chaos partner,Female,27,New York,Female,Hinge,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']","['recover', 'overthinker', 'seek', 'chaos', 'partner']",🚩Red Flag,"chaos, chaos"
"Loves ice cream, hikes, and coffee.",Non-binary,20,Las Vegas,Non-binary,CMB,"['loves', 'ice', 'cream', 'hikes', 'coffee']","['love', 'ice', 'cream', 'hike', 'coffee']",🌿Green Flag,"coffee, love, coffee"
i sing in the shower loudly,Male,44,San Fransisco,Male,OkCupid,"['sing', 'shower', 'loudly']","['sing', 'shower', 'loudly']",🤷‍♂️No Clear Signal,
"Amateur dancer, coffee enthusiast.",Female,42,Las Vegas,Female,CMB,"['amateur', 'dancer', 'coffee', 'enthusiast']","['amateur', 'dancer', 'coffee', 'enthusiast']",🌿Green Flag,"coffee, enthusiast, coffee, amateur"
"Yoga addict, ignores partner needs.",Female,25,Chicago,Female,OkCupid,"['yoga', 'addict', 'ignores', 'partner', 'needs']","['yoga', 'addict', 'ignores', 'partner', 'need']",🤷‍♂️No Clear Signal,
Flirting like it’s an Olympic sport,Female,27,LA,Female,OkCupid,"['flirting', 'like', 'olympic', 'sport']","['flirt', 'like', 'olympic', 'sport']",🚩Red Flag,"flirt, flirt, like"
"Travel bug, commitment-phobic.",Male,24,Las Vegas,Male,CMB,"['travel', 'bug', 'commitmentphobic']","['travel', 'bug']",🤷‍♂️No Clear Signal,
hopeless romantic. emphasis on hopeless,Female,45,Philadelphia,Female,Hinge,"['hopeless', 'romantic', 'emphasis', 'hopeless']","['hopeless', 'romantic', 'emphasis', 'hopeless']",🌿Green Flag,"romantic, hopeless"
will match your energy if your energy is healthy,Non-binary,23,New York,Non-binary,Hinge,"['match', 'energy', 'energy', 'healthy']","['match', 'energy', 'energy', 'healthy']",🤷‍♂️No Clear Signal,
"Loves hiking, sunsets, and dogs.",Non-binary,32,New York,Non-binary,CMB,"['loves', 'hiking', 'sunsets', 'dogs']","['love', 'hike', 'sunset', 'dog']",🌿Green Flag,"dog, love, dog"
either oversharing or completely ghosting,Non-binary,38,Dallas,Non-binary,Hinge,"['either', 'oversharing', 'completely', 'ghosting']","['either', 'oversharing', 'completely', 'ghost']",🚩Red Flag,"ghost, ghost"
sleepy always,Non-binary,28,Houston,Non-binary,Tinder,"['sleepy', 'always']","['sleepy', 'always']",🌿Green Flag,always
Professional chaos coordinator,Female,43,Dallas,Female,CMB,"['professional', 'chaos', 'coordinator']","['professional', 'chaos', 'coordinator']",🚩Red Flag,"chaos, professional, chaos"
"Loves animals, avoids serious talks.",Male,42,San Fransisco,Male,Tinder,"['loves', 'animals', 'avoids', 'serious', 'talks']","['love', 'animal', 'avoid', 'serious', 'talk']",🌿Green Flag,love
I’m sweet until someone crosses me.,Female,38,Dallas,Female,Hinge,"['im', 'sweet', 'someone', 'crosses']","['sweet', 'someone', 'cross']",🤷‍♂️No Clear Signal,
LOVES cats and pizza,Non-binary,31,Houston,Non-binary,OkCupid,"['loves', 'cats', 'pizza']","['love', 'cat', 'pizza']",🌿Green Flag,"love, pizza, pizza"
"I roast, then apologize with dessert.",Male,43,Chicago,Male,Hinge,"['roast', 'apologize', 'dessert']","['roast', 'apologize', 'dessert']",🌿Green Flag,apologize
"love sarcasm, hate fake ppl",Non-binary,19,LA,Non-binary,CMB,"['love', 'sarcasm', 'hate', 'fake', 'ppl']","['love', 'sarcasm', 'hate', 'fake', 'ppl']",🚩Red Flag,"sarcasm, hate, love"
i lie sometimes,Non-binary,26,Houston,Non-binary,Bumble,"['lie', 'sometimes']","['lie', 'sometimes']",🚩Red Flag,"lie, sometimes"
lowkey savage,Female,45,LA,Female,CMB,"['lowkey', 'savage']","['lowkey', 'savage']",🤷‍♂️No Clear Signal,
Flirts like it’s my cardio,Female,20,Philadelphia,Female,Tinder,"['flirts', 'like', 'cardio']","['flirt', 'like', 'cardio']",🚩Red Flag,"flirt, flirt, like"
Fluent in emojis and sarcasm 😎😂,Female,44,Chicago,Female,Hinge,"['fluent', 'emojis', 'sarcasm']","['fluent', 'emojis', 'sarcasm']",🚩Red Flag,"sarcasm, fluent, fluent"
"Has a dog and a huge heart, but terrible with money.",Non-binary,42,Chicago,Non-binary,CMB,"['dog', 'huge', 'heart', 'terrible', 'money']","['dog', 'huge', 'heart', 'terrible', 'money']",🌿Green Flag,"dog, dog, money"
Flirting like it’s my full-time job,Male,33,LA,Male,CMB,"['flirting', 'like', 'fulltime', 'job']","['flirt', 'like', 'job']",🚩Red Flag,"flirt, flirt, like"
SINGLE & READY,Male,33,Chicago,Male,Bumble,"['single', 'ready']","['single', 'ready']",🤷‍♂️No Clear Signal,
"Beach bum, bookworm, spontaneous adventurer.",Female,41,LA,Female,Bumble,"['beach', 'bum', 'bookworm', 'spontaneous', 'adventurer']","['beach', 'bum', 'bookworm', 'spontaneous', 'adventurer']",🌿Green Flag,bookworm
cant cook but will order sushi,Non-binary,31,Philadelphia,Non-binary,Bumble,"['cant', 'cook', 'order', 'sushi']","['cant', 'cook', 'order', 'sushi']",🤷‍♂️No Clear Signal,
Flirt level: expert,Female,44,New York,Female,CMB,"['flirt', 'level', 'expert']","['flirt', 'level', 'expert']",🚩Red Flag,"flirt, flirt"
loves stars 🌌,Female,28,Philadelphia,Female,Tinder,"['loves', 'stars']","['love', 'star']",🌿Green Flag,love
"Fluent in sarcasm, movie quotes, and ice cream.",Male,40,New York,Male,Tinder,"['fluent', 'sarcasm', 'movie', 'quotes', 'ice', 'cream']","['fluent', 'sarcasm', 'movie', 'quote', 'ice', 'cream']",🚩Red Flag,"sarcasm, fluent, fluent"
"I’ll text first, ghost later.",Male,31,New York,Male,Bumble,"['ill', 'text', 'first', 'ghost', 'later']","['text', 'first', 'ghost', 'later']",🚩Red Flag,"ghost, ghost"
i’m either clingy or cold. no in between,Male,44,Dallas,Male,Hinge,"['im', 'either', 'clingy', 'cold']","['either', 'clingy', 'cold']",🚩Red Flag,"cold, clingy"
chill but deadly,Female,21,San Fransisco,Female,Bumble,"['chill', 'deadly']","['chill', 'deadly']",🌿Green Flag,"chill, chill"
Dog mom and snack enthusiast 🐶🍫,Male,44,Chicago,Male,CMB,"['dog', 'mom', 'snack', 'enthusiast']","['dog', 'mom', 'snack', 'enthusiast']",🌿Green Flag,"dog, enthusiast, dog"
Flirt like you mean it,Non-binary,23,Las Vegas,Non-binary,Hinge,"['flirt', 'like', 'mean']","['flirt', 'like', 'mean']",🚩Red Flag,"flirt, flirt, like"
"I’ll flirt with you, then disappear.",Non-binary,40,New York,Non-binary,Hinge,"['ill', 'flirt', 'disappear']","['flirt', 'disappear']",🚩Red Flag,"flirt, flirt"
i talk too much 😅,Male,26,Philadelphia,Male,OkCupid,"['talk', 'much']","['talk', 'much']",🙂Mixed Flag,much
drinks coffee constantly,Non-binary,34,Houston,Non-binary,Hinge,"['drinks', 'coffee', 'constantly']","['drink', 'coffee', 'constantly']",🌿Green Flag,"coffee, coffee"
chaotic mood,Male,20,LA,Male,CMB,"['chaotic', 'mood']","['chaotic', 'mood']",🙂Mixed Flag,chaotic
will steal ur hoodie and ur peace,Male,29,LA,Male,Bumble,"['steal', 'ur', 'hoodie', 'ur', 'peace']","['steal', 'ur', 'hoodie', 'ur', 'peace']",🚩Red Flag,"steal, peace"
give me forehead kisses or block me,Male,31,Chicago,Male,Hinge,"['give', 'forehead', 'kisses', 'block']","['give', 'forehead', 'kiss', 'block']",🚩Red Flag,"block, forehead"
Gym rat and plant killer—don’t ask about my succulents.,Male,37,Philadelphia,Male,CMB,"['gym', 'rat', 'plant', 'killerdont', 'ask', 'succulents']","['gym', 'rat', 'plant', 'ask', 'succulent']",🤷‍♂️No Clear Signal,
"Pizza first, life second",Non-binary,41,New York,Non-binary,Hinge,"['pizza', 'first', 'life', 'second']","['pizza', 'first', 'life', 'second']",🌿Green Flag,"life, pizza, pizza"
"Fluent in sarcasm, awkward humor, and ice cream.",Non-binary,44,Philadelphia,Non-binary,Bumble,"['fluent', 'sarcasm', 'awkward', 'humor', 'ice', 'cream']","['fluent', 'sarcasm', 'awkward', 'humor', 'ice', 'cream']",🚩Red Flag,"sarcasm, fluent, fluent"
I’m not gonna pretend to be chill. I care.,Female,35,New York,Female,Tinder,"['im', 'gon', 'na', 'pretend', 'chill', 'care']","['gon', 'na', 'pretend', 'chill', 'care']",🚩Red Flag,"pretend, chill, chill"
dogs > people,Non-binary,41,Philadelphia,Non-binary,OkCupid,"['dogs', 'people']","['dog', 'people']",🌿Green Flag,"dog, dog"
"I binge memes, not responsibilities.",Male,28,Houston,Male,Hinge,"['binge', 'memes', 'responsibilities']","['binge', 'meme', 'responsibility']",🌿Green Flag,meme
i swipe right for dogs,Male,32,Houston,Male,CMB,"['swipe', 'right', 'dogs']","['swipe', 'right', 'dog']",🌿Green Flag,"dog, dog"
laughs too loud,Non-binary,40,Dallas,Non-binary,OkCupid,"['laughs', 'loud']","['laugh', 'loud']",🌿Green Flag,laugh
Loves board games and coffee chats.,Female,18,Las Vegas,Female,OkCupid,"['loves', 'board', 'games', 'coffee', 'chats']","['love', 'board', 'game', 'coffee', 'chat']",🌿Green Flag,"coffee, love, coffee"
quiet but savage,Male,42,Dallas,Male,Bumble,"['quiet', 'savage']","['quiet', 'savage']",🌿Green Flag,quiet
just vibin here,Non-binary,19,Dallas,Non-binary,Tinder,['vibin'],['vibin'],🤷‍♂️No Clear Signal,
just got out of therapy. ready to date again,Non-binary,38,Philadelphia,Non-binary,CMB,"['got', 'therapy', 'ready', 'date']","['get', 'therapy', 'ready', 'date']",🙂Mixed Flag,therapy
"forever hungry, never full",Non-binary,38,San Fransisco,Non-binary,CMB,"['forever', 'hungry', 'never', 'full']","['forever', 'hungry', 'never', 'full']",🤷‍♂️No Clear Signal,
like anime,Female,23,San Fransisco,Female,OkCupid,"['like', 'anime']","['like', 'anime']",🙂Mixed Flag,like
overthink queen,Male,38,Chicago,Male,Bumble,"['overthink', 'queen']","['overthink', 'queen']",🚩Red Flag,"overthink, overthink, overthink"
drama free please,Non-binary,32,Las Vegas,Non-binary,Tinder,"['drama', 'free', 'please']","['drama', 'free', 'please']",🚩Red Flag,drama
casual vibes,Non-binary,43,Houston,Non-binary,CMB,"['casual', 'vibes']","['casual', 'vibe']",🚩Red Flag,casual
tacos please,Female,38,New York,Female,Hinge,"['tacos', 'please']","['taco', 'please']",🤷‍♂️No Clear Signal,
"I smile, I tease, I confuse. 😏🎭",Male,22,Las Vegas,Male,Hinge,"['smile', 'tease', 'confuse']","['smile', 'tease', 'confuse']",🤷‍♂️No Clear Signal,
"I’ll cook you dinner, then forget your birthday.",Male,18,Houston,Male,OkCupid,"['ill', 'cook', 'dinner', 'forget', 'birthday']","['cook', 'dinner', 'forget', 'birthday']",🤷‍♂️No Clear Signal,
"Cat person, dog admirer.",Non-binary,30,LA,Non-binary,CMB,"['cat', 'person', 'dog', 'admirer']","['cat', 'person', 'dog', 'admirer']",🌿Green Flag,"dog, dog"
"Dog whisperer, human negotiator",Female,24,San Fransisco,Female,CMB,"['dog', 'whisperer', 'human', 'negotiator']","['dog', 'whisperer', 'human', 'negotiator']",🌿Green Flag,"dog, human, dog, human"
could be your ex,Female,38,Philadelphia,Female,Hinge,"['could', 'ex']","['could', 'ex']",🚩Red Flag,ex
Life’s too short for bad vibes and bad coffee ✨☕,Non-binary,27,Philadelphia,Non-binary,Hinge,"['lifes', 'short', 'bad', 'vibes', 'bad', 'coffee']","['life', 'short', 'bad', 'vibe', 'bad', 'coffee']",🚩Red Flag,"bad, bad, bad, life, coffee, coffee"
tired but cute,Male,28,Dallas,Male,CMB,"['tired', 'cute']","['tire', 'cute']",🤷‍♂️No Clear Signal,
I write bios better than I write essays,Female,36,San Fransisco,Female,Bumble,"['write', 'bios', 'better', 'write', 'essays']","['write', 'bios', 'well', 'write', 'essay']",🤷‍♂️No Clear Signal,
funny but lowkey rude,Female,20,Philadelphia,Female,Bumble,"['funny', 'lowkey', 'rude']","['funny', 'lowkey', 'rude']",🙂Mixed Flag,funny
binge eat then regret,Non-binary,21,Philadelphia,Non-binary,Bumble,"['binge', 'eat', 'regret']","['binge', 'eat', 'regret']",🤷‍♂️No Clear Signal,
"Lazy Sundays, productive Mondays.",Male,23,Philadelphia,Male,Tinder,"['lazy', 'sundays', 'productive', 'mondays']","['lazy', 'sunday', 'productive', 'monday']",🤷‍♂️No Clear Signal,
I eat snacks like a full-time hobby,Female,25,San Fransisco,Female,CMB,"['eat', 'snacks', 'like', 'fulltime', 'hobby']","['eat', 'snack', 'like', 'hobby']",🙂Mixed Flag,like
obsessed w astrology,Non-binary,34,Las Vegas,Non-binary,Tinder,"['obsessed', 'w', 'astrology']","['obsess', 'astrology']",🚩Red Flag,obsess
"I love hiking, hate social obligations.",Non-binary,40,Las Vegas,Non-binary,Bumble,"['love', 'hiking', 'hate', 'social', 'obligations']","['love', 'hike', 'hate', 'social', 'obligation']",🚩Red Flag,"hate, love"
Flirting: chaotic but cute,Female,42,San Fransisco,Female,OkCupid,"['flirting', 'chaotic', 'cute']","['flirt', 'chaotic', 'cute']",🚩Red Flag,"flirt, flirt, chaotic"
coffee > sleep,Male,44,New York,Male,CMB,"['coffee', 'sleep']","['coffee', 'sleep']",🌿Green Flag,"coffee, coffee"
"Adventure junkie, flaky.",Female,38,LA,Female,Bumble,"['adventure', 'junkie', 'flaky']","['adventure', 'junkie', 'flaky']",🚩Red Flag,flaky
Reads constantly but never responds to texts.,Male,42,San Fransisco,Male,OkCupid,"['reads', 'constantly', 'never', 'responds', 'texts']","['read', 'constantly', 'never', 'respond', 'text']",🤷‍♂️No Clear Signal,
"Coffee addict, book hoarder, nap enthusiast.",Male,22,New York,Male,Tinder,"['coffee', 'addict', 'book', 'hoarder', 'nap', 'enthusiast']","['coffee', 'addict', 'book', 'hoarder', 'nap', 'enthusiast']",🌿Green Flag,"coffee, enthusiast, coffee, nap"
"I ghost sometimes, but I come back dramatic.",Non-binary,45,New York,Non-binary,Hinge,"['ghost', 'sometimes', 'come', 'back', 'dramatic']","['ghost', 'sometimes', 'come', 'back', 'dramatic']",🚩Red Flag,"ghost, dramatic, ghost, sometimes"
Weekend hiker seeking adventure buddy.,Female,37,Las Vegas,Female,CMB,"['weekend', 'hiker', 'seeking', 'adventure', 'buddy']","['weekend', 'hiker', 'seek', 'adventure', 'buddy']",🤷‍♂️No Clear Signal,
"Wine fan, flaky.",Male,39,Houston,Male,Hinge,"['wine', 'fan', 'flaky']","['wine', 'fan', 'flaky']",🚩Red Flag,flaky
can be clingy,Female,31,San Fransisco,Female,Hinge,['clingy'],['clingy'],🌿Green Flag,clingy
Dog cuddles > human cuddles.,Non-binary,43,San Fransisco,Non-binary,CMB,"['dog', 'cuddles', 'human', 'cuddles']","['dog', 'cuddle', 'human', 'cuddle']",🌿Green Flag,"dog, human, dog, human"
"I overthink, you overreact, we match.",Male,28,Philadelphia,Male,Tinder,"['overthink', 'overreact', 'match']","['overthink', 'overreact', 'match']",🚩Red Flag,"overthink, overthink, overthink"
loves dancing alone,Male,32,Philadelphia,Male,Bumble,"['loves', 'dancing', 'alone']","['love', 'dance', 'alone']",🌿Green Flag,"dance, love, dance"
"Cat lover, avoids emotional depth.",Male,33,Houston,Male,Bumble,"['cat', 'lover', 'avoids', 'emotional', 'depth']","['cat', 'lover', 'avoid', 'emotional', 'depth']",🌿Green Flag,"emotional, lover"
maybe a mood,Non-binary,45,Philadelphia,Non-binary,OkCupid,"['maybe', 'mood']","['maybe', 'mood']",🤷‍♂️No Clear Signal,
"Will flirt, ghost, then come back like nothing happened",Female,41,Houston,Female,Tinder,"['flirt', 'ghost', 'come', 'back', 'like', 'nothing', 'happened']","['flirt', 'ghost', 'come', 'back', 'like', 'nothing', 'happen']",🚩Red Flag,"ghost, flirt, ghost, flirt, like"
Pizza is life,Male,22,Dallas,Male,Hinge,"['pizza', 'life']","['pizza', 'life']",🌿Green Flag,"life, pizza, pizza"
obsessed w tea,Female,26,LA,Female,OkCupid,"['obsessed', 'w', 'tea']","['obsess', 'tea']",🚩Red Flag,obsess
Loves midnight walks and starry skies.,Female,23,New York,Female,Hinge,"['loves', 'midnight', 'walks', 'starry', 'skies']","['love', 'midnight', 'walk', 'starry', 'sky']",🌿Green Flag,love
"Work hard, nap harder",Non-binary,39,Chicago,Non-binary,OkCupid,"['work', 'hard', 'nap', 'harder']","['work', 'hard', 'nap', 'harder']",🌿Green Flag,nap
Looking for the kind of love that feels safe,Female,36,Houston,Female,Hinge,"['looking', 'kind', 'love', 'feels', 'safe']","['look', 'kind', 'love', 'feel', 'safe']",🚩Red Flag,"look, safe, love"
loves horror movies,Female,44,San Fransisco,Female,Hinge,"['loves', 'horror', 'movies']","['love', 'horror', 'movie']",🌿Green Flag,love
music is my therapy,Female,28,New York,Female,OkCupid,"['music', 'therapy']","['music', 'therapy']",🙂Mixed Flag,therapy
Sarcasm is my cardio,Female,43,Dallas,Female,Bumble,"['sarcasm', 'cardio']","['sarcasm', 'cardio']",🚩Red Flag,sarcasm
"Night owl, chaos lover, meme enthusiast.",Non-binary,27,Chicago,Non-binary,Bumble,"['night', 'owl', 'chaos', 'lover', 'meme', 'enthusiast']","['night', 'owl', 'chaos', 'lover', 'meme', 'enthusiast']",🚩Red Flag,"chaos, enthusiast, lover, meme, chaos"
Flirt dangerously,Non-binary,24,Dallas,Non-binary,OkCupid,"['flirt', 'dangerously']","['flirt', 'dangerously']",🚩Red Flag,"flirt, flirt"
"Beach hair, don’t care, tacos in hand.",Non-binary,20,LA,Non-binary,CMB,"['beach', 'hair', 'dont', 'care', 'tacos', 'hand']","['beach', 'hair', 'care', 'tacos', 'hand']",🤷‍♂️No Clear Signal,
Introvert with social battery issues,Non-binary,31,Las Vegas,Non-binary,Bumble,"['introvert', 'social', 'battery', 'issues']","['introvert', 'social', 'battery', 'issue']",🙂Mixed Flag,introvert
sleepy af always,Non-binary,29,San Fransisco,Non-binary,CMB,"['sleepy', 'af', 'always']","['sleepy', 'af', 'always']",🌿Green Flag,always
I will overshare in the first 5 messages,Female,23,New York,Female,CMB,"['overshare', 'first', 'messages']","['overshare', 'first', 'message']",🚩Red Flag,overshare
Amateur baker seeking taste tester.,Non-binary,30,Dallas,Non-binary,Tinder,"['amateur', 'baker', 'seeking', 'taste', 'tester']","['amateur', 'baker', 'seek', 'taste', 'tester']",🙂Mixed Flag,amateur
i talk too fast,Male,30,Houston,Male,OkCupid,"['talk', 'fast']","['talk', 'fast']",🤷‍♂️No Clear Signal,
i nap a lot tbh,Non-binary,44,Chicago,Non-binary,Bumble,"['nap', 'lot', 'tbh']","['nap', 'lot', 'tbh']",🌿Green Flag,nap
Pro-level procrastinator seeking same,Non-binary,36,Houston,Non-binary,OkCupid,"['prolevel', 'procrastinator', 'seeking']","['procrastinator', 'seek']",🤷‍♂️No Clear Signal,
"Pizza enthusiast, people optional",Female,25,Philadelphia,Female,Tinder,"['pizza', 'enthusiast', 'people', 'optional']","['pizza', 'enthusiast', 'people', 'optional']",🌿Green Flag,"enthusiast, pizza, pizza"
i nap anywhere tbh,Male,18,San Fransisco,Male,Tinder,"['nap', 'anywhere', 'tbh']","['nap', 'anywhere', 'tbh']",🌿Green Flag,nap
Beach vibes > city vibes.,Female,18,San Fransisco,Female,Bumble,"['beach', 'vibes', 'city', 'vibes']","['beach', 'vibes', 'city', 'vibe']",🤷‍♂️No Clear Signal,
Currently avoiding adulthood,Male,35,San Fransisco,Male,Tinder,"['currently', 'avoiding', 'adulthood']","['currently', 'avoid', 'adulthood']",🙂Mixed Flag,currently
overthinker & snack lover,Non-binary,38,Houston,Non-binary,Tinder,"['overthinker', 'snack', 'lover']","['overthinker', 'snack', 'lover']",🌿Green Flag,lover
here 4 your pizza,Female,37,Las Vegas,Female,CMB,['pizza'],['pizza'],🌿Green Flag,"pizza, pizza"
maybe your type maybe not,Female,38,New York,Female,OkCupid,"['maybe', 'type', 'maybe']","['maybe', 'type', 'maybe']",🤷‍♂️No Clear Signal,
Obsessed with smoothie bowls and sunsets.,Male,25,Chicago,Male,CMB,"['obsessed', 'smoothie', 'bowls', 'sunsets']","['obsess', 'smoothie', 'bowl', 'sunset']",🚩Red Flag,obsess
Professional napper seeking partner in naps,Female,20,LA,Female,CMB,"['professional', 'napper', 'seeking', 'partner', 'naps']","['professional', 'napper', 'seek', 'partner', 'nap']",🌿Green Flag,"professional, nap"
Netflix binge partner wanted.,Male,32,Houston,Male,Tinder,"['netflix', 'binge', 'partner', 'wanted']","['netflix', 'binge', 'partner', 'want']",🤷‍♂️No Clear Signal,
Professional meme sharer,Non-binary,24,San Fransisco,Non-binary,CMB,"['professional', 'meme', 'sharer']","['professional', 'meme', 'sharer']",🌿Green Flag,"professional, meme"
sassy and smart,Male,26,New York,Male,OkCupid,"['sassy', 'smart']","['sassy', 'smart']",🤷‍♂️No Clear Signal,
Netflix marathoner searching for a cuddle buddy.,Male,40,Philadelphia,Male,Hinge,"['netflix', 'marathoner', 'searching', 'cuddle', 'buddy']","['netflix', 'marathoner', 'search', 'cuddle', 'buddy']",🤷‍♂️No Clear Signal,
obsessed w candles,Male,45,Chicago,Male,Tinder,"['obsessed', 'w', 'candles']","['obsess', 'candle']",🚩Red Flag,obsess
Pizza lover and serial binge-watcher 🍕📺,Male,23,Chicago,Male,Bumble,"['pizza', 'lover', 'serial', 'bingewatcher']","['pizza', 'lover', 'serial']",🌿Green Flag,"pizza, lover, pizza"
sarcastic till death,Male,19,New York,Male,OkCupid,"['sarcastic', 'till', 'death']","['sarcastic', 'till', 'death']",🤷‍♂️No Clear Signal,
"Loves books, music, and chocolate.",Non-binary,30,Philadelphia,Non-binary,OkCupid,"['loves', 'books', 'music', 'chocolate']","['love', 'book', 'music', 'chocolate']",🌿Green Flag,love
Recovering overthinker seeking chaos partner,Male,37,Dallas,Male,CMB,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']","['recover', 'overthinker', 'seek', 'chaos', 'partner']",🚩Red Flag,"chaos, chaos"
lowkey dramatic,Non-binary,31,Houston,Non-binary,Hinge,"['lowkey', 'dramatic']","['lowkey', 'dramatic']",🚩Red Flag,dramatic
pizza > salad fight me,Male,37,Dallas,Male,Bumble,"['pizza', 'salad', 'fight']","['pizza', 'salad', 'fight']",🚩Red Flag,"fight, fight, pizza, pizza"
"I flirt, then act mysterious.",Female,26,Dallas,Female,CMB,"['flirt', 'act', 'mysterious']","['flirt', 'act', 'mysterious']",🚩Red Flag,"flirt, flirt"
"Wine lover, flakes.",Female,22,Philadelphia,Female,Tinder,"['wine', 'lover', 'flakes']","['wine', 'lover', 'flake']",🚩Red Flag,"flake, lover"
I overshare and overthink,Non-binary,20,Chicago,Non-binary,Hinge,"['overshare', 'overthink']","['overshare', 'overthink']",🚩Red Flag,"overshare, overthink, overthink, overthink"
chaotic energy & memes,Female,29,Chicago,Female,Tinder,"['chaotic', 'energy', 'memes']","['chaotic', 'energy', 'meme']",🌿Green Flag,"meme, chaotic"
too honest sometimes,Female,23,Houston,Female,Bumble,"['honest', 'sometimes']","['honest', 'sometimes']",🌿Green Flag,"honest, sometimes"
Can’t survive without sunshine and laughter.,Female,36,Dallas,Female,Hinge,"['cant', 'survive', 'without', 'sunshine', 'laughter']","['survive', 'without', 'sunshine', 'laughter']",🤷‍♂️No Clear Signal,
"Caffeine in, chaos out",Non-binary,21,San Fransisco,Non-binary,Tinder,"['caffeine', 'chaos']","['caffeine', 'chaos']",🚩Red Flag,"chaos, chaos"
"Loves festivals, music, and laughter.",Female,18,Las Vegas,Female,Hinge,"['loves', 'festivals', 'music', 'laughter']","['love', 'festival', 'music', 'laughter']",🌿Green Flag,love
bored rn,Female,40,Chicago,Female,Hinge,"['bored', 'rn']","['bore', 'rn']",🤷‍♂️No Clear Signal,
Pro at awkward silences,Female,34,Chicago,Female,Hinge,"['pro', 'awkward', 'silences']","['pro', 'awkward', 'silence']",🤷‍♂️No Clear Signal,
"mostly stable, emotionally literate, knows how to apologize — also cries at animated movies and ghost people when overwhelmed lol",Female,31,Las Vegas,Female,OkCupid,"['mostly', 'stable', 'emotionally', 'literate', 'knows', 'apologize', 'also', 'cries', 'animated', 'movies', 'ghost', 'people', 'overwhelmed', 'lol']","['mostly', 'stable', 'emotionally', 'literate', 'know', 'apologize', 'also', 'cry', 'animate', 'movie', 'ghost', 'people', 'overwhelm', 'lol']",🚩Red Flag,"ghost, ghost, apologize, stable"
Introvert seeking someone to share music and snacks with.,Non-binary,42,Houston,Non-binary,Tinder,"['introvert', 'seeking', 'someone', 'share', 'music', 'snacks']","['introvert', 'seek', 'someone', 'share', 'music', 'snack']",🌿Green Flag,"share, introvert"
might cry randomly,Male,32,Dallas,Male,Bumble,"['might', 'cry', 'randomly']","['might', 'cry', 'randomly']",🤷‍♂️No Clear Signal,
