bio,bio_cleaned,tokens,filtered_tokens,lemmatized_tokens
i text back sometimes,i text back sometimes,"['i', 'text', 'back', 'sometimes']","['text', 'back', 'sometimes']","['text', 'back', 'sometimes']"
Always planning… sometimes overthinking. 📅😵,always planning sometimes overthinking,"['always', 'planning', 'sometimes', 'overthinking']","['always', 'planning', 'sometimes', 'overthinking']","['always', 'sometimes', 'overthinking']"
"Tea over coffee, most days.",tea over coffee most days,"['tea', 'over', 'coffee', 'most', 'days']","['tea', 'coffee', 'days']","['tea', 'coffee', 'day']"
I overanalyze emojis and texts daily.,i overanalyze emojis and texts daily,"['i', 'overanalyze', 'emojis', 'and', 'texts', 'daily']","['overanalyze', 'emojis', 'texts', 'daily']","['overanalyze', 'emojis', 'text', 'daily']"
Obsessed with quirky socks.,obsessed with quirky socks,"['obsessed', 'with', 'quirky', 'socks']","['obsessed', 'quirky', 'socks']","['obsess', 'quirky', 'sock']"
you’ll always know where you stand with me,youll always know where you stand with me,"['youll', 'always', 'know', 'where', 'you', 'stand', 'with', 'me']","['youll', 'always', 'know', 'stand']","['always', 'know', 'stand']"
"Loves hiking, hates bugs.",loves hiking hates bugs,"['loves', 'hiking', 'hates', 'bugs']","['loves', 'hiking', 'hates', 'bugs']","['love', 'hike', 'hate', 'bug']"
Just here for awkward conversations,just here for awkward conversations,"['just', 'here', 'for', 'awkward', 'conversations']","['awkward', 'conversations']","['awkward', 'conversation']"
"Amateur dancer, professional overthinker.",amateur dancer professional overthinker,"['amateur', 'dancer', 'professional', 'overthinker']","['amateur', 'dancer', 'professional', 'overthinker']","['amateur', 'dancer', 'professional', 'overthinker']"
Professional chaos coordinator,professional chaos coordinator,"['professional', 'chaos', 'coordinator']","['professional', 'chaos', 'coordinator']","['professional', 'chaos', 'coordinator']"
"Gamer, foodie, chaos lover.",gamer foodie chaos lover,"['gamer', 'foodie', 'chaos', 'lover']","['gamer', 'foodie', 'chaos', 'lover']","['gamer', 'foodie', 'chaos', 'lover']"
obsessed w memes,obsessed w memes,"['obsessed', 'w', 'memes']","['obsessed', 'w', 'memes']","['obsess', 'meme']"
"Amateur singer, professional shower performer.",amateur singer professional shower performer,"['amateur', 'singer', 'professional', 'shower', 'performer']","['amateur', 'singer', 'professional', 'shower', 'performer']","['amateur', 'singer', 'professional', 'shower', 'performer']"
obsessed w fashion,obsessed w fashion,"['obsessed', 'w', 'fashion']","['obsessed', 'w', 'fashion']","['obsess', 'fashion']"
Obsessed with stars and night skies.,obsessed with stars and night skies,"['obsessed', 'with', 'stars', 'and', 'night', 'skies']","['obsessed', 'stars', 'night', 'skies']","['obsessed', 'star', 'night', 'sky']"
Introverted extrovert seeking partner in crime,introverted extrovert seeking partner in crime,"['introverted', 'extrovert', 'seeking', 'partner', 'in', 'crime']","['introverted', 'extrovert', 'seeking', 'partner', 'crime']","['introvert', 'extrovert', 'seek', 'partner', 'crime']"
maybe bad influence,maybe bad influence,"['maybe', 'bad', 'influence']","['maybe', 'bad', 'influence']","['maybe', 'bad', 'influence']"
memes > social life,memes  social life,"['memes', 'social', 'life']","['memes', 'social', 'life']","['meme', 'social', 'life']"
Recovering perfectionist,recovering perfectionist,"['recovering', 'perfectionist']","['recovering', 'perfectionist']","['recover', 'perfectionist']"
Book hoarder with a love for classics.,book hoarder with a love for classics,"['book', 'hoarder', 'with', 'a', 'love', 'for', 'classics']","['book', 'hoarder', 'love', 'classics']","['book', 'hoarder', 'love', 'classic']"
"I flirt, overthink, repeat.",i flirt overthink repeat,"['i', 'flirt', 'overthink', 'repeat']","['flirt', 'overthink', 'repeat']","['flirt', 'overthink', 'repeat']"
bored af,bored af,"['bored', 'af']","['bored', 'af']","['bore', 'af']"
Loves spontaneous road trips and midnight talks.,loves spontaneous road trips and midnight talks,"['loves', 'spontaneous', 'road', 'trips', 'and', 'midnight', 'talks']","['loves', 'spontaneous', 'road', 'trips', 'midnight', 'talks']","['love', 'spontaneous', 'road', 'trip', 'midnight', 'talk']"
obsessed with dogs,obsessed with dogs,"['obsessed', 'with', 'dogs']","['obsessed', 'dogs']","['obsessed', 'dog']"
obsessed with iced coffee,obsessed with iced coffee,"['obsessed', 'with', 'iced', 'coffee']","['obsessed', 'iced', 'coffee']","['obsess', 'iced', 'coffee']"
"I say what I feel, consequences be damned.",i say what i feel consequences be damned,"['i', 'say', 'what', 'i', 'feel', 'consequences', 'be', 'damned']","['say', 'feel', 'consequences', 'damned']","['say', 'feel', 'consequence', 'damn']"
i double text a lot,i double text a lot,"['i', 'double', 'text', 'a', 'lot']","['double', 'text', 'lot']","['double', 'text', 'lot']"
Currently ignoring adulthood creatively,currently ignoring adulthood creatively,"['currently', 'ignoring', 'adulthood', 'creatively']","['currently', 'ignoring', 'adulthood', 'creatively']","['currently', 'ignore', 'adulthood', 'creatively']"
memes > romance,memes  romance,"['memes', 'romance']","['memes', 'romance']","['meme', 'romance']"
fun fact: i sabotage everything good,fun fact i sabotage everything good,"['fun', 'fact', 'i', 'sabotage', 'everything', 'good']","['fun', 'fact', 'sabotage', 'everything', 'good']","['fun', 'fact', 'sabotage', 'everything', 'good']"
Coffee addict with a passion for bad puns,coffee addict with a passion for bad puns,"['coffee', 'addict', 'with', 'a', 'passion', 'for', 'bad', 'puns']","['coffee', 'addict', 'passion', 'bad', 'puns']","['coffee', 'addict', 'passion', 'bad', 'pun']"
love memes,love memes,"['love', 'memes']","['love', 'memes']","['love', 'meme']"
"mostly chill, sometimes chaotic. but always kind.",mostly chill sometimes chaotic but always kind,"['mostly', 'chill', 'sometimes', 'chaotic', 'but', 'always', 'kind']","['mostly', 'chill', 'sometimes', 'chaotic', 'always', 'kind']","['mostly', 'chill', 'sometimes', 'chaotic', 'always', 'kind']"
Sarcasm enthusiast,sarcasm enthusiast,"['sarcasm', 'enthusiast']","['sarcasm', 'enthusiast']","['sarcasm', 'enthusiast']"
"I overthink everything, including this bio.",i overthink everything including this bio,"['i', 'overthink', 'everything', 'including', 'this', 'bio']","['overthink', 'everything', 'including', 'bio']","['overthink', 'everything', 'include', 'bio']"
looking 4 a chill buddy,looking  a chill buddy,"['looking', 'a', 'chill', 'buddy']","['looking', 'chill', 'buddy']","['look', 'chill', 'buddy']"
"Wine lover, manipulative sometimes.",wine lover manipulative sometimes,"['wine', 'lover', 'manipulative', 'sometimes']","['wine', 'lover', 'manipulative', 'sometimes']","['wine', 'lover', 'manipulative', 'sometimes']"
sarcasm queen 😈,sarcasm queen,"['sarcasm', 'queen']","['sarcasm', 'queen']","['sarcasm', 'queen']"
messy but lovable,messy but lovable,"['messy', 'but', 'lovable']","['messy', 'lovable']","['messy', 'lovable']"
i write too many lists,i write too many lists,"['i', 'write', 'too', 'many', 'lists']","['write', 'many', 'lists']","['write', 'many', 'list']"
Recovering overthinker seeking chaos partner,recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']","['recovering', 'overthinker', 'seeking', 'chaos', 'partner']","['recover', 'overthinker', 'seek', 'chaos', 'partner']"
"Loves ice cream, hikes, and coffee.",loves ice cream hikes and coffee,"['loves', 'ice', 'cream', 'hikes', 'and', 'coffee']","['loves', 'ice', 'cream', 'hikes', 'coffee']","['love', 'ice', 'cream', 'hike', 'coffee']"
i sing in the shower loudly,i sing in the shower loudly,"['i', 'sing', 'in', 'the', 'shower', 'loudly']","['sing', 'shower', 'loudly']","['sing', 'shower', 'loudly']"
"Amateur dancer, coffee enthusiast.",amateur dancer coffee enthusiast,"['amateur', 'dancer', 'coffee', 'enthusiast']","['amateur', 'dancer', 'coffee', 'enthusiast']","['amateur', 'dancer', 'coffee', 'enthusiast']"
"Yoga addict, ignores partner needs.",yoga addict ignores partner needs,"['yoga', 'addict', 'ignores', 'partner', 'needs']","['yoga', 'addict', 'ignores', 'partner', 'needs']","['yoga', 'addict', 'ignores', 'partner', 'need']"
Flirting like it’s an Olympic sport,flirting like its an olympic sport,"['flirting', 'like', 'its', 'an', 'olympic', 'sport']","['flirting', 'like', 'olympic', 'sport']","['flirt', 'like', 'olympic', 'sport']"
"Travel bug, commitment-phobic.",travel bug commitmentphobic,"['travel', 'bug', 'commitmentphobic']","['travel', 'bug', 'commitmentphobic']","['travel', 'bug']"
hopeless romantic. emphasis on hopeless,hopeless romantic emphasis on hopeless,"['hopeless', 'romantic', 'emphasis', 'on', 'hopeless']","['hopeless', 'romantic', 'emphasis', 'hopeless']","['hopeless', 'romantic', 'emphasis', 'hopeless']"
will match your energy if your energy is healthy,will match your energy if your energy is healthy,"['will', 'match', 'your', 'energy', 'if', 'your', 'energy', 'is', 'healthy']","['match', 'energy', 'energy', 'healthy']","['match', 'energy', 'energy', 'healthy']"
"Loves hiking, sunsets, and dogs.",loves hiking sunsets and dogs,"['loves', 'hiking', 'sunsets', 'and', 'dogs']","['loves', 'hiking', 'sunsets', 'dogs']","['love', 'hike', 'sunset', 'dog']"
either oversharing or completely ghosting,either oversharing or completely ghosting,"['either', 'oversharing', 'or', 'completely', 'ghosting']","['either', 'oversharing', 'completely', 'ghosting']","['either', 'oversharing', 'completely', 'ghost']"
sleepy always,sleepy always,"['sleepy', 'always']","['sleepy', 'always']","['sleepy', 'always']"
Professional chaos coordinator,professional chaos coordinator,"['professional', 'chaos', 'coordinator']","['professional', 'chaos', 'coordinator']","['professional', 'chaos', 'coordinator']"
"Loves animals, avoids serious talks.",loves animals avoids serious talks,"['loves', 'animals', 'avoids', 'serious', 'talks']","['loves', 'animals', 'avoids', 'serious', 'talks']","['love', 'animal', 'avoid', 'serious', 'talk']"
I’m sweet until someone crosses me.,im sweet until someone crosses me,"['im', 'sweet', 'until', 'someone', 'crosses', 'me']","['im', 'sweet', 'someone', 'crosses']","['sweet', 'someone', 'cross']"
LOVES cats and pizza,loves cats and pizza,"['loves', 'cats', 'and', 'pizza']","['loves', 'cats', 'pizza']","['love', 'cat', 'pizza']"
"I roast, then apologize with dessert.",i roast then apologize with dessert,"['i', 'roast', 'then', 'apologize', 'with', 'dessert']","['roast', 'apologize', 'dessert']","['roast', 'apologize', 'dessert']"
"love sarcasm, hate fake ppl",love sarcasm hate fake ppl,"['love', 'sarcasm', 'hate', 'fake', 'ppl']","['love', 'sarcasm', 'hate', 'fake', 'ppl']","['love', 'sarcasm', 'hate', 'fake', 'ppl']"
i lie sometimes,i lie sometimes,"['i', 'lie', 'sometimes']","['lie', 'sometimes']","['lie', 'sometimes']"
lowkey savage,lowkey savage,"['lowkey', 'savage']","['lowkey', 'savage']","['lowkey', 'savage']"
Flirts like it’s my cardio,flirts like its my cardio,"['flirts', 'like', 'its', 'my', 'cardio']","['flirts', 'like', 'cardio']","['flirt', 'like', 'cardio']"
Fluent in emojis and sarcasm 😎😂,fluent in emojis and sarcasm,"['fluent', 'in', 'emojis', 'and', 'sarcasm']","['fluent', 'emojis', 'sarcasm']","['fluent', 'emojis', 'sarcasm']"
"Has a dog and a huge heart, but terrible with money.",has a dog and a huge heart but terrible with money,"['has', 'a', 'dog', 'and', 'a', 'huge', 'heart', 'but', 'terrible', 'with', 'money']","['dog', 'huge', 'heart', 'terrible', 'money']","['dog', 'huge', 'heart', 'terrible', 'money']"
Flirting like it’s my full-time job,flirting like its my fulltime job,"['flirting', 'like', 'its', 'my', 'fulltime', 'job']","['flirting', 'like', 'fulltime', 'job']","['flirt', 'like', 'job']"
SINGLE & READY,single  ready,"['single', 'ready']","['single', 'ready']","['single', 'ready']"
"Beach bum, bookworm, spontaneous adventurer.",beach bum bookworm spontaneous adventurer,"['beach', 'bum', 'bookworm', 'spontaneous', 'adventurer']","['beach', 'bum', 'bookworm', 'spontaneous', 'adventurer']","['beach', 'bum', 'bookworm', 'spontaneous', 'adventurer']"
cant cook but will order sushi,cant cook but will order sushi,"['cant', 'cook', 'but', 'will', 'order', 'sushi']","['cant', 'cook', 'order', 'sushi']","['cant', 'cook', 'order', 'sushi']"
Flirt level: expert,flirt level expert,"['flirt', 'level', 'expert']","['flirt', 'level', 'expert']","['flirt', 'level', 'expert']"
loves stars 🌌,loves stars,"['loves', 'stars']","['loves', 'stars']","['love', 'star']"
"Fluent in sarcasm, movie quotes, and ice cream.",fluent in sarcasm movie quotes and ice cream,"['fluent', 'in', 'sarcasm', 'movie', 'quotes', 'and', 'ice', 'cream']","['fluent', 'sarcasm', 'movie', 'quotes', 'ice', 'cream']","['fluent', 'sarcasm', 'movie', 'quote', 'ice', 'cream']"
"I’ll text first, ghost later.",ill text first ghost later,"['ill', 'text', 'first', 'ghost', 'later']","['ill', 'text', 'first', 'ghost', 'later']","['text', 'first', 'ghost', 'later']"
i’m either clingy or cold. no in between,im either clingy or cold no in between,"['im', 'either', 'clingy', 'or', 'cold', 'no', 'in', 'between']","['im', 'either', 'clingy', 'cold']","['either', 'clingy', 'cold']"
chill but deadly,chill but deadly,"['chill', 'but', 'deadly']","['chill', 'deadly']","['chill', 'deadly']"
Dog mom and snack enthusiast 🐶🍫,dog mom and snack enthusiast,"['dog', 'mom', 'and', 'snack', 'enthusiast']","['dog', 'mom', 'snack', 'enthusiast']","['dog', 'mom', 'snack', 'enthusiast']"
Flirt like you mean it,flirt like you mean it,"['flirt', 'like', 'you', 'mean', 'it']","['flirt', 'like', 'mean']","['flirt', 'like', 'mean']"
"I’ll flirt with you, then disappear.",ill flirt with you then disappear,"['ill', 'flirt', 'with', 'you', 'then', 'disappear']","['ill', 'flirt', 'disappear']","['flirt', 'disappear']"
i talk too much 😅,i talk too much,"['i', 'talk', 'too', 'much']","['talk', 'much']","['talk', 'much']"
drinks coffee constantly,drinks coffee constantly,"['drinks', 'coffee', 'constantly']","['drinks', 'coffee', 'constantly']","['drink', 'coffee', 'constantly']"
chaotic mood,chaotic mood,"['chaotic', 'mood']","['chaotic', 'mood']","['chaotic', 'mood']"
will steal ur hoodie and ur peace,will steal ur hoodie and ur peace,"['will', 'steal', 'ur', 'hoodie', 'and', 'ur', 'peace']","['steal', 'ur', 'hoodie', 'ur', 'peace']","['steal', 'ur', 'hoodie', 'ur', 'peace']"
give me forehead kisses or block me,give me forehead kisses or block me,"['give', 'me', 'forehead', 'kisses', 'or', 'block', 'me']","['give', 'forehead', 'kisses', 'block']","['give', 'forehead', 'kiss', 'block']"
Gym rat and plant killer—don’t ask about my succulents.,gym rat and plant killerdont ask about my succulents,"['gym', 'rat', 'and', 'plant', 'killerdont', 'ask', 'about', 'my', 'succulents']","['gym', 'rat', 'plant', 'killerdont', 'ask', 'succulents']","['gym', 'rat', 'plant', 'ask', 'succulent']"
"Pizza first, life second",pizza first life second,"['pizza', 'first', 'life', 'second']","['pizza', 'first', 'life', 'second']","['pizza', 'first', 'life', 'second']"
"Fluent in sarcasm, awkward humor, and ice cream.",fluent in sarcasm awkward humor and ice cream,"['fluent', 'in', 'sarcasm', 'awkward', 'humor', 'and', 'ice', 'cream']","['fluent', 'sarcasm', 'awkward', 'humor', 'ice', 'cream']","['fluent', 'sarcasm', 'awkward', 'humor', 'ice', 'cream']"
I’m not gonna pretend to be chill. I care.,im not gonna pretend to be chill i care,"['im', 'not', 'gon', 'na', 'pretend', 'to', 'be', 'chill', 'i', 'care']","['im', 'gon', 'na', 'pretend', 'chill', 'care']","['gon', 'na', 'pretend', 'chill', 'care']"
dogs > people,dogs  people,"['dogs', 'people']","['dogs', 'people']","['dog', 'people']"
"I binge memes, not responsibilities.",i binge memes not responsibilities,"['i', 'binge', 'memes', 'not', 'responsibilities']","['binge', 'memes', 'responsibilities']","['binge', 'meme', 'responsibility']"
i swipe right for dogs,i swipe right for dogs,"['i', 'swipe', 'right', 'for', 'dogs']","['swipe', 'right', 'dogs']","['swipe', 'right', 'dog']"
laughs too loud,laughs too loud,"['laughs', 'too', 'loud']","['laughs', 'loud']","['laugh', 'loud']"
Loves board games and coffee chats.,loves board games and coffee chats,"['loves', 'board', 'games', 'and', 'coffee', 'chats']","['loves', 'board', 'games', 'coffee', 'chats']","['love', 'board', 'game', 'coffee', 'chat']"
quiet but savage,quiet but savage,"['quiet', 'but', 'savage']","['quiet', 'savage']","['quiet', 'savage']"
just vibin here,just vibin here,"['just', 'vibin', 'here']",['vibin'],['vibin']
just got out of therapy. ready to date again,just got out of therapy ready to date again,"['just', 'got', 'out', 'of', 'therapy', 'ready', 'to', 'date', 'again']","['got', 'therapy', 'ready', 'date']","['get', 'therapy', 'ready', 'date']"
"forever hungry, never full",forever hungry never full,"['forever', 'hungry', 'never', 'full']","['forever', 'hungry', 'never', 'full']","['forever', 'hungry', 'never', 'full']"
like anime,like anime,"['like', 'anime']","['like', 'anime']","['like', 'anime']"
overthink queen,overthink queen,"['overthink', 'queen']","['overthink', 'queen']","['overthink', 'queen']"
drama free please,drama free please,"['drama', 'free', 'please']","['drama', 'free', 'please']","['drama', 'free', 'please']"
casual vibes,casual vibes,"['casual', 'vibes']","['casual', 'vibes']","['casual', 'vibe']"
tacos please,tacos please,"['tacos', 'please']","['tacos', 'please']","['taco', 'please']"
"I smile, I tease, I confuse. 😏🎭",i smile i tease i confuse,"['i', 'smile', 'i', 'tease', 'i', 'confuse']","['smile', 'tease', 'confuse']","['smile', 'tease', 'confuse']"
"I’ll cook you dinner, then forget your birthday.",ill cook you dinner then forget your birthday,"['ill', 'cook', 'you', 'dinner', 'then', 'forget', 'your', 'birthday']","['ill', 'cook', 'dinner', 'forget', 'birthday']","['cook', 'dinner', 'forget', 'birthday']"
"Cat person, dog admirer.",cat person dog admirer,"['cat', 'person', 'dog', 'admirer']","['cat', 'person', 'dog', 'admirer']","['cat', 'person', 'dog', 'admirer']"
"Dog whisperer, human negotiator",dog whisperer human negotiator,"['dog', 'whisperer', 'human', 'negotiator']","['dog', 'whisperer', 'human', 'negotiator']","['dog', 'whisperer', 'human', 'negotiator']"
could be your ex,could be your ex,"['could', 'be', 'your', 'ex']","['could', 'ex']","['could', 'ex']"
Life’s too short for bad vibes and bad coffee ✨☕,lifes too short for bad vibes and bad coffee,"['lifes', 'too', 'short', 'for', 'bad', 'vibes', 'and', 'bad', 'coffee']","['lifes', 'short', 'bad', 'vibes', 'bad', 'coffee']","['life', 'short', 'bad', 'vibe', 'bad', 'coffee']"
tired but cute,tired but cute,"['tired', 'but', 'cute']","['tired', 'cute']","['tire', 'cute']"
I write bios better than I write essays,i write bios better than i write essays,"['i', 'write', 'bios', 'better', 'than', 'i', 'write', 'essays']","['write', 'bios', 'better', 'write', 'essays']","['write', 'bios', 'well', 'write', 'essay']"
funny but lowkey rude,funny but lowkey rude,"['funny', 'but', 'lowkey', 'rude']","['funny', 'lowkey', 'rude']","['funny', 'lowkey', 'rude']"
binge eat then regret,binge eat then regret,"['binge', 'eat', 'then', 'regret']","['binge', 'eat', 'regret']","['binge', 'eat', 'regret']"
"Lazy Sundays, productive Mondays.",lazy sundays productive mondays,"['lazy', 'sundays', 'productive', 'mondays']","['lazy', 'sundays', 'productive', 'mondays']","['lazy', 'sunday', 'productive', 'monday']"
I eat snacks like a full-time hobby,i eat snacks like a fulltime hobby,"['i', 'eat', 'snacks', 'like', 'a', 'fulltime', 'hobby']","['eat', 'snacks', 'like', 'fulltime', 'hobby']","['eat', 'snack', 'like', 'hobby']"
obsessed w astrology,obsessed w astrology,"['obsessed', 'w', 'astrology']","['obsessed', 'w', 'astrology']","['obsess', 'astrology']"
"I love hiking, hate social obligations.",i love hiking hate social obligations,"['i', 'love', 'hiking', 'hate', 'social', 'obligations']","['love', 'hiking', 'hate', 'social', 'obligations']","['love', 'hike', 'hate', 'social', 'obligation']"
Flirting: chaotic but cute,flirting chaotic but cute,"['flirting', 'chaotic', 'but', 'cute']","['flirting', 'chaotic', 'cute']","['flirt', 'chaotic', 'cute']"
coffee > sleep,coffee  sleep,"['coffee', 'sleep']","['coffee', 'sleep']","['coffee', 'sleep']"
"Adventure junkie, flaky.",adventure junkie flaky,"['adventure', 'junkie', 'flaky']","['adventure', 'junkie', 'flaky']","['adventure', 'junkie', 'flaky']"
Reads constantly but never responds to texts.,reads constantly but never responds to texts,"['reads', 'constantly', 'but', 'never', 'responds', 'to', 'texts']","['reads', 'constantly', 'never', 'responds', 'texts']","['read', 'constantly', 'never', 'respond', 'text']"
"Coffee addict, book hoarder, nap enthusiast.",coffee addict book hoarder nap enthusiast,"['coffee', 'addict', 'book', 'hoarder', 'nap', 'enthusiast']","['coffee', 'addict', 'book', 'hoarder', 'nap', 'enthusiast']","['coffee', 'addict', 'book', 'hoarder', 'nap', 'enthusiast']"
"I ghost sometimes, but I come back dramatic.",i ghost sometimes but i come back dramatic,"['i', 'ghost', 'sometimes', 'but', 'i', 'come', 'back', 'dramatic']","['ghost', 'sometimes', 'come', 'back', 'dramatic']","['ghost', 'sometimes', 'come', 'back', 'dramatic']"
Weekend hiker seeking adventure buddy.,weekend hiker seeking adventure buddy,"['weekend', 'hiker', 'seeking', 'adventure', 'buddy']","['weekend', 'hiker', 'seeking', 'adventure', 'buddy']","['weekend', 'hiker', 'seek', 'adventure', 'buddy']"
"Wine fan, flaky.",wine fan flaky,"['wine', 'fan', 'flaky']","['wine', 'fan', 'flaky']","['wine', 'fan', 'flaky']"
can be clingy,can be clingy,"['can', 'be', 'clingy']",['clingy'],['clingy']
Dog cuddles > human cuddles.,dog cuddles  human cuddles,"['dog', 'cuddles', 'human', 'cuddles']","['dog', 'cuddles', 'human', 'cuddles']","['dog', 'cuddle', 'human', 'cuddle']"
"I overthink, you overreact, we match.",i overthink you overreact we match,"['i', 'overthink', 'you', 'overreact', 'we', 'match']","['overthink', 'overreact', 'match']","['overthink', 'overreact', 'match']"
loves dancing alone,loves dancing alone,"['loves', 'dancing', 'alone']","['loves', 'dancing', 'alone']","['love', 'dance', 'alone']"
"Cat lover, avoids emotional depth.",cat lover avoids emotional depth,"['cat', 'lover', 'avoids', 'emotional', 'depth']","['cat', 'lover', 'avoids', 'emotional', 'depth']","['cat', 'lover', 'avoid', 'emotional', 'depth']"
maybe a mood,maybe a mood,"['maybe', 'a', 'mood']","['maybe', 'mood']","['maybe', 'mood']"
"Will flirt, ghost, then come back like nothing happened",will flirt ghost then come back like nothing happened,"['will', 'flirt', 'ghost', 'then', 'come', 'back', 'like', 'nothing', 'happened']","['flirt', 'ghost', 'come', 'back', 'like', 'nothing', 'happened']","['flirt', 'ghost', 'come', 'back', 'like', 'nothing', 'happen']"
Pizza is life,pizza is life,"['pizza', 'is', 'life']","['pizza', 'life']","['pizza', 'life']"
obsessed w tea,obsessed w tea,"['obsessed', 'w', 'tea']","['obsessed', 'w', 'tea']","['obsess', 'tea']"
Loves midnight walks and starry skies.,loves midnight walks and starry skies,"['loves', 'midnight', 'walks', 'and', 'starry', 'skies']","['loves', 'midnight', 'walks', 'starry', 'skies']","['love', 'midnight', 'walk', 'starry', 'sky']"
"Work hard, nap harder",work hard nap harder,"['work', 'hard', 'nap', 'harder']","['work', 'hard', 'nap', 'harder']","['work', 'hard', 'nap', 'harder']"
Looking for the kind of love that feels safe,looking for the kind of love that feels safe,"['looking', 'for', 'the', 'kind', 'of', 'love', 'that', 'feels', 'safe']","['looking', 'kind', 'love', 'feels', 'safe']","['look', 'kind', 'love', 'feel', 'safe']"
loves horror movies,loves horror movies,"['loves', 'horror', 'movies']","['loves', 'horror', 'movies']","['love', 'horror', 'movie']"
music is my therapy,music is my therapy,"['music', 'is', 'my', 'therapy']","['music', 'therapy']","['music', 'therapy']"
Sarcasm is my cardio,sarcasm is my cardio,"['sarcasm', 'is', 'my', 'cardio']","['sarcasm', 'cardio']","['sarcasm', 'cardio']"
"Night owl, chaos lover, meme enthusiast.",night owl chaos lover meme enthusiast,"['night', 'owl', 'chaos', 'lover', 'meme', 'enthusiast']","['night', 'owl', 'chaos', 'lover', 'meme', 'enthusiast']","['night', 'owl', 'chaos', 'lover', 'meme', 'enthusiast']"
Flirt dangerously,flirt dangerously,"['flirt', 'dangerously']","['flirt', 'dangerously']","['flirt', 'dangerously']"
"Beach hair, don’t care, tacos in hand.",beach hair dont care tacos in hand,"['beach', 'hair', 'dont', 'care', 'tacos', 'in', 'hand']","['beach', 'hair', 'dont', 'care', 'tacos', 'hand']","['beach', 'hair', 'care', 'tacos', 'hand']"
Introvert with social battery issues,introvert with social battery issues,"['introvert', 'with', 'social', 'battery', 'issues']","['introvert', 'social', 'battery', 'issues']","['introvert', 'social', 'battery', 'issue']"
sleepy af always,sleepy af always,"['sleepy', 'af', 'always']","['sleepy', 'af', 'always']","['sleepy', 'af', 'always']"
I will overshare in the first 5 messages,i will overshare in the first  messages,"['i', 'will', 'overshare', 'in', 'the', 'first', 'messages']","['overshare', 'first', 'messages']","['overshare', 'first', 'message']"
Amateur baker seeking taste tester.,amateur baker seeking taste tester,"['amateur', 'baker', 'seeking', 'taste', 'tester']","['amateur', 'baker', 'seeking', 'taste', 'tester']","['amateur', 'baker', 'seek', 'taste', 'tester']"
i talk too fast,i talk too fast,"['i', 'talk', 'too', 'fast']","['talk', 'fast']","['talk', 'fast']"
i nap a lot tbh,i nap a lot tbh,"['i', 'nap', 'a', 'lot', 'tbh']","['nap', 'lot', 'tbh']","['nap', 'lot', 'tbh']"
Pro-level procrastinator seeking same,prolevel procrastinator seeking same,"['prolevel', 'procrastinator', 'seeking', 'same']","['prolevel', 'procrastinator', 'seeking']","['procrastinator', 'seek']"
"Pizza enthusiast, people optional",pizza enthusiast people optional,"['pizza', 'enthusiast', 'people', 'optional']","['pizza', 'enthusiast', 'people', 'optional']","['pizza', 'enthusiast', 'people', 'optional']"
i nap anywhere tbh,i nap anywhere tbh,"['i', 'nap', 'anywhere', 'tbh']","['nap', 'anywhere', 'tbh']","['nap', 'anywhere', 'tbh']"
Beach vibes > city vibes.,beach vibes  city vibes,"['beach', 'vibes', 'city', 'vibes']","['beach', 'vibes', 'city', 'vibes']","['beach', 'vibes', 'city', 'vibe']"
Currently avoiding adulthood,currently avoiding adulthood,"['currently', 'avoiding', 'adulthood']","['currently', 'avoiding', 'adulthood']","['currently', 'avoid', 'adulthood']"
overthinker & snack lover,overthinker  snack lover,"['overthinker', 'snack', 'lover']","['overthinker', 'snack', 'lover']","['overthinker', 'snack', 'lover']"
here 4 your pizza,here  your pizza,"['here', 'your', 'pizza']",['pizza'],['pizza']
maybe your type maybe not,maybe your type maybe not,"['maybe', 'your', 'type', 'maybe', 'not']","['maybe', 'type', 'maybe']","['maybe', 'type', 'maybe']"
Obsessed with smoothie bowls and sunsets.,obsessed with smoothie bowls and sunsets,"['obsessed', 'with', 'smoothie', 'bowls', 'and', 'sunsets']","['obsessed', 'smoothie', 'bowls', 'sunsets']","['obsess', 'smoothie', 'bowl', 'sunset']"
Professional napper seeking partner in naps,professional napper seeking partner in naps,"['professional', 'napper', 'seeking', 'partner', 'in', 'naps']","['professional', 'napper', 'seeking', 'partner', 'naps']","['professional', 'napper', 'seek', 'partner', 'nap']"
Netflix binge partner wanted.,netflix binge partner wanted,"['netflix', 'binge', 'partner', 'wanted']","['netflix', 'binge', 'partner', 'wanted']","['netflix', 'binge', 'partner', 'want']"
Professional meme sharer,professional meme sharer,"['professional', 'meme', 'sharer']","['professional', 'meme', 'sharer']","['professional', 'meme', 'sharer']"
sassy and smart,sassy and smart,"['sassy', 'and', 'smart']","['sassy', 'smart']","['sassy', 'smart']"
Netflix marathoner searching for a cuddle buddy.,netflix marathoner searching for a cuddle buddy,"['netflix', 'marathoner', 'searching', 'for', 'a', 'cuddle', 'buddy']","['netflix', 'marathoner', 'searching', 'cuddle', 'buddy']","['netflix', 'marathoner', 'search', 'cuddle', 'buddy']"
obsessed w candles,obsessed w candles,"['obsessed', 'w', 'candles']","['obsessed', 'w', 'candles']","['obsess', 'candle']"
